m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.69,0.69,-4.687095734002627e-05,-1.699133597369895e-05,-4.688340450959396e-05
0.7,0.7,-3.1402022804215325e-05,-4.662877928063728e-05,-3.140767847788946e-05
0.71,0.71,-3.273499287406531e-05,-2.509519939253528e-05,-3.274632957317947e-05
0.72,0.72,-3.6972522776343486e-05,-3.8238350470528726e-05,-3.697970838718254e-05
0.73,0.73,-3.470208416405912e-05,-3.661715072525738e-05,-3.4706828847112054e-05
0.74,0.74,-7.821462825203767e-05,-3.203234854471008e-05,-7.82186728015081e-05
0.75,0.75,-9.223046689157041e-05,-3.621178252018958e-05,-9.223782072276959e-05
0.76,0.76,-8.764944572401778e-05,-7.58469637645662e-05,-8.765434642027444e-05
0.77,0.77,-7.895527319646227e-05,-4.346584899370598e-05,-7.89677829616816e-05
0.78,0.78,-0.00018757603238589806,-4.060741990198426e-05,-0.00018758401605351344
0.79,0.79,-0.00017782322979965795,-0.00012506158851055795,-0.00017782816181272966
0.8,0.8,-0.00014337565823409034,-0.00013032526996849034,-0.00014338499640890402
0.81,0.81,-0.0003399405318941455,-9.602276260447546e-05,-0.0003399492885823863
0.82,0.82,-7.335560241142385e-05,-0.0003484701241189453,-7.336263681624703e-05
0.83,0.83,-0.00019068552588279587,-0.0002597170008227959,-0.00019069001147604362
0.84,0.84,-0.00021266492033403256,-0.00013237371830863255,-0.00021267464273740019
0.85,0.85,-0.0007781679101208163,-0.00042905206948951643,-0.0007781827212577497
0.86,0.86,-0.00010467057647208517,-0.0003953392268070852,-0.00010467660826847037
0.87,0.87,-0.0010292905629769246,-0.0009472018896497246,-0.0010292935532511724
0.88,0.88,-0.00037592678316100144,-0.0003557099229947014,-0.0003759360305987615
0.89,0.89,-0.0008441427433619205,-0.0004897807934068206,-0.0008441508907578439
0.9,0.9,-0.0004820561560168612,-0.001747709596171361,-0.00048205979017488544
0.91,0.91,-0.0025669805564975503,-0.0042320132290181505,-0.0025669875585618666
0.92,0.92,-0.002272817254007292,-0.004420857988028691,-0.0022728276224925135
0.93,0.93,-0.009275411491479384,-0.0037709208486805847,-0.009275420820861541
0.94,0.94,-0.04197394940709362,-0.005156321357029318,-0.041973959841145325
0.95,0.95,-0.009256867084955938,-0.04032045781741594,-0.009256874181589173
0.96,0.96,-0.06631660925419762,-0.032895860045094115,-0.06631661331713601
0.97,0.97,-0.06425529278927414,-0.09024221862049633,-0.06425530048152987
0.98,0.98,,-0.07113146985321328,
0.99,0.99,,,
0.1,0.2,-4.080221640969142e-07,,-3.986234593276828e-07
0.1,0.3,-1.2850703103815082e-07,,-6.074437253807465e-08
0.1,0.4,-3.3710163188972575e-07,,-1.6675339323187514e-07
0.1,0.5,-7.417643773825552e-07,,-6.164041605246054e-07
0.1,0.6,-1.2211387184236318e-06,,-1.0145412106665476e-06
0.1,0.7,-8.871737492477357e-07,,-4.6485743352869425e-07
0.1,0.8,-7.649227275361874e-07,,-3.969117454113009e-07
0.1,0.9,-1.671411448182649e-06,,-1.1457544839197768e-06
0.2,0.3,-3.859093847002884e-07,,-3.670572715504307e-07
0.2,0.4,-5.607568995942207e-07,,-5.202314408393277e-07
0.2,0.5,-1.120709101583614e-06,,-1.0971459780453378e-06
0.2,0.6,-8.961921648161713e-07,,-7.89944589338813e-07
0.2,0.7,-1.4402310116106012e-06,,-1.2996338576419012e-06
0.2,0.8,-2.230450306984969e-06,,-2.0553886879547827e-06
0.2,0.9,-2.5404804212283365e-06,,-2.2419635137005204e-06
0.3,0.4,-1.4635632454154093e-06,-1.396517643543619e-06,-1.4556601555130986e-06
0.3,0.5,-9.243963801745449e-07,,-9.017990311384617e-07
0.3,0.6,-2.102992342344903e-06,,-2.0774590141072816e-06
0.3,0.7,-2.2875030340904855e-06,,-2.207580138955995e-06
0.3,0.8,-3.242074194628818e-06,,-3.185165784194075e-06
0.3,0.9,-4.167422046056736e-06,,-4.0075747532880215e-06
0.4,0.5,-1.3124548451010704e-06,-4.505142173333306e-06,-1.3002182175000448e-06
0.4,0.6,-7.402401395725025e-06,,-7.3964596027315815e-06
0.4,0.7,-2.973344903935977e-06,,-2.9347609654675842e-06
0.4,0.8,-2.4881290975436545e-06,,-2.456165444964748e-06
0.4,0.9,-1.0518272366260035e-05,,-1.0350445606965267e-05
0.5,0.6,-5.3064661288947725e-06,-5.977834943727578e-06,-5.3178958911185795e-06
0.5,0.7,-5.2588995822431714e-06,-5.312296567386025e-06,-5.24817541298486e-06
0.5,0.8,-6.898600672250806e-06,,-6.878481167094836e-06
0.5,0.9,-1.1575590706938974e-05,,-1.1498077345203924e-05
0.6,0.7,-1.4215184386516118e-05,-1.3012862002736318e-05,-1.421308319961419e-05
0.6,0.8,-2.01194792216349e-05,,-2.0108207542983306e-05
0.6,0.9,-4.1130064668513946e-05,,-4.110634336730758e-05
0.7,0.8,-3.170173236618018e-05,-4.2648520132722295e-05,-3.1698792328571216e-05
0.7,0.9,-9.888958441123735e-05,,-9.885628090938696e-05
0.8,0.9,-0.00013326051457058927,,-0.0001332662586125324
