m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.0,0.0,7.632674439905868e-09,-4.804675324474535e-08,3.438367508845414e-08
0.01,0.01,-1.202432114861351e-07,-8.935508079025311e-08,-1.0265286112310483e-07
0.02,0.02,-8.207746230423026e-10,-1.6593345829447844e-08,3.5196013743274204e-09
0.03,0.03,-3.1557202646168336e-09,1.868538244733579e-08,-1.233145671111634e-08
0.04,0.04,4.555528481526094e-10,-1.5382614917960365e-08,-3.7024118701745455e-08
0.05,0.05,-9.953301840697472e-08,-1.1446956377959858e-07,1.405420755698913e-08
0.06,0.06,-3.077331958386999e-08,-7.528890903056293e-08,-9.025613221801984e-08
0.07,0.07,-1.1376405222975527e-07,-1.3726452113467187e-07,-1.0265424774470293e-07
0.08,0.08,-9.917539543151351e-08,-3.7888596782653215e-08,-1.043587119597521e-07
0.09,0.09,-6.465445917451874e-08,-1.329157339214976e-07,-8.767028926995299e-08
0.1,0.1,-2.6071035253811825e-08,-1.3270370925896812e-07,7.13222880202808e-08
0.11,0.11,-1.558232663809412e-07,-7.734363819928157e-08,-1.5773822218850003e-07
0.12,0.12,-3.7319441592904876e-07,-3.9884992493036986e-07,-3.498882956251837e-07
0.13,0.13,-3.6053330991273486e-07,-3.5278439398454124e-07,-4.058332150789053e-07
0.14,0.14,-9.77777004383208e-08,-1.324019569663298e-07,-1.6725912705035837e-07
0.15,0.15,-3.093288986449124e-07,-2.68962249004779e-07,-3.4519104620669205e-07
0.16,0.16,3.68653109938431e-08,-1.2844493135535724e-07,-4.282101682712401e-09
0.17,0.17,-3.866798775077618e-07,-2.122693876473482e-07,-3.7872049633917835e-07
0.18,0.18,-2.3730374214346314e-07,-3.541978928900286e-07,-1.8549921374889795e-07
0.19,0.19,-3.3948904150625126e-07,-4.969914613523097e-07,-2.9932744891639084e-07
0.2,0.2,-5.326930788794334e-07,-5.975295768073553e-07,-5.343300125337302e-07
0.21,0.21,-2.1498765299122284e-07,-5.478757425289598e-07,-2.5036466680898265e-07
0.22,0.22,-6.826169058477068e-07,-2.113529385047138e-07,-7.136320881461153e-07
0.23,0.23,-7.180626026397157e-07,-6.267593512085798e-07,-6.993978045969051e-07
0.24,0.24,-6.22361506964581e-07,-5.616108270823255e-07,-6.124396670017238e-07
0.25,0.25,-5.629511108375698e-07,-3.0508041228615863e-07,-6.051633483510192e-07
0.26,0.26,-5.344414127745923e-07,-8.408462417554834e-07,-5.477164997485117e-07
0.27,0.27,-1.1348542627225085e-06,-9.925208290383895e-07,-1.0997773748711902e-06
0.28,0.28,-7.398741419343925e-07,-6.606516442388422e-07,-7.27651295743445e-07
0.29,0.29,-5.862762089586099e-07,-4.822255323218863e-07,-6.268058668090142e-07
0.3,0.3,-5.468666457248281e-07,-9.91754702022578e-07,-7.309493175965147e-07
0.31,0.31,-1.0131635822615016e-06,-1.002745002169737e-06,-1.0552603164740072e-06
0.32,0.32,-1.2944443720290728e-06,-1.2032953258704772e-06,-1.295329469646012e-06
0.33,0.33,-1.4769159522292273e-06,-1.57458589361687e-06,-1.4804034767457788e-06
0.34,0.34,-7.716950863096217e-07,-1.2757860733916269e-06,-7.505117246640518e-07
0.35,0.35,-1.250103225846233e-06,-2.790800802589498e-07,-1.2260301302984724e-06
0.36,0.36,-1.2709286121699455e-06,-7.881690510341682e-07,-1.293570829692782e-06
0.37,0.37,-1.0163986704345063e-06,-3.084667306524103e-06,-1.013386730892754e-06
0.38,0.38,-7.672383794578742e-07,-1.3108788621390961e-06,-8.565996627614879e-07
0.39,0.39,-1.1490981017716656e-06,-3.5573888595127463e-06,-1.2250785814897693e-06
0.4,0.4,-2.3217000766842447e-06,-3.1113198824109225e-06,-2.3424881070504016e-06
0.41,0.41,-7.90585777749347e-07,-4.005122255789361e-06,-8.210087986678864e-07
0.42,0.42,-1.7735787435309295e-06,-1.5800056543154176e-06,-1.7749267004788536e-06
0.43,0.43,-4.6541286224756775e-06,-2.5912718725129874e-06,-4.707987695218032e-06
0.44,0.44,-1.9841286518500357e-06,-2.180284534993773e-06,-1.966952014936576e-06
0.45,0.45,-3.408727924575717e-06,-1.4057100384198274e-06,-3.393599560380794e-06
0.46,0.46,-4.82763023117017e-06,-2.8578746114660385e-06,-4.780628420485873e-06
0.47,0.47,-4.285738565519441e-06,-1.5996259294478844e-06,-4.424051407033892e-06
0.48,0.48,-2.7279237399229877e-06,-4.9920526395284815e-06,-2.7031800144711332e-06
0.49,0.49,-4.107945202587114e-06,-4.126446256445533e-06,-4.1540537005609416e-06
0.5,0.5,-4.01927632811018e-06,-3.900547224992275e-06,-4.000819932090123e-06
0.51,0.51,-5.397421425000772e-06,-2.113952215232148e-06,-5.420688186751282e-06
0.52,0.52,-5.867128757733904e-06,-7.640409896511118e-06,-5.935517727330965e-06
0.53,0.53,-5.432886798966116e-06,-6.025733498582117e-06,-5.463023427426431e-06
0.54,0.54,-9.322082110142397e-06,-3.162865862926547e-06,-9.346701504430178e-06
0.55,0.55,-1.0184797914319731e-05,-6.208543544007956e-06,-1.031500437179115e-05
0.56,0.56,-1.0220170906075849e-05,-7.854407389952923e-06,-1.0269807836865105e-05
0.57,0.57,-4.7153760952763e-06,-1.0473649744329823e-05,-4.7998412875129095e-06
0.58,0.58,-1.5291894462681453e-05,-8.012051149218198e-06,-1.5342139200100346e-05
0.59,0.59,-7.114083179308508e-06,-6.685281263862228e-06,-7.1029137189436695e-06
0.6,0.6,-1.4798582362165848e-05,-9.344216381773282e-06,-1.4861946278319219e-05
0.61,0.61,-1.7665445144685887e-05,-9.328732264610935e-06,-1.7669139044139693e-05
0.62,0.62,-7.303823579752467e-06,-6.550226628702611e-06,-7.453598638995327e-06
0.63,0.63,-1.4783699381918688e-05,-1.728602444601005e-05,-1.4806427114144778e-05
0.64,0.64,-1.9776262595378088e-05,-1.0241822041537467e-05,-1.9798226306019886e-05
0.65,0.65,-2.3403066198019464e-05,-9.025268643219023e-06,-2.3504355434776244e-05
0.66,0.66,-5.9545383687052445e-06,-2.9215633612160112e-05,-6.075414661341335e-06
0.67,0.67,-1.6540833479672423e-05,-1.5983369717105227e-05,-1.6600393989017508e-05
0.68,0.68,-4.421813239142228e-05,-7.722559330232895e-06,-4.424219313613121e-05
0.69,0.69,-3.4234325706028986e-05,-2.1533256394223366e-05,-3.434174685829322e-05
0.7,0.7,-2.4794739412059806e-05,-2.7235260720067595e-05,-2.481860866416304e-05
0.71,0.71,-3.7031257873534e-05,-2.495216779076352e-05,-3.70610018481592e-05
0.72,0.72,-3.585045716595292e-05,-3.7895797008717306e-05,-3.5848365709957976e-05
0.73,0.73,-5.487099071027572e-05,-3.431368089145135e-05,-5.4889586264560575e-05
0.74,0.74,-7.794541354800002e-05,-5.5417052385468035e-05,-7.800135595587517e-05
0.75,0.75,-4.188807909473065e-05,-0.00013047930223616646,-4.19472482038388e-05
0.76,0.76,-8.288573803161601e-05,-6.413028826180612e-05,-8.296713056954565e-05
0.77,0.77,-6.335931527203343e-05,-4.777545917847289e-05,-6.343675277407445e-05
0.78,0.78,-0.00011366906151913228,-0.00014151218001963228,-0.00011371762209444918
0.79,0.79,-5.697171791120322e-05,-5.430637391887989e-05,-5.71352431492159e-05
0.8,0.8,-0.00011373163089102167,-6.602425471762471e-05,-0.00011377328025705324
0.81,0.81,-0.00010314267272889364,-0.0005490807270841937,-0.00010321209669299789
0.82,0.82,-0.0003293747540909891,-9.738543162220377e-05,-0.00032950223493881413
0.83,0.83,-0.00012193492255355005,-0.00062107280355795,-0.00012195931557057746
0.84,0.84,-0.0002573980080810046,-0.0005220845022930045,-0.0002574094376988789
0.85,0.85,-0.00013002340597045517,-0.00024094288533935517,-0.0001300632713841674
0.86,0.86,-0.0008441226983446533,-0.0005298197196746533,-0.0008442042438298366
0.87,0.87,-0.000301731495007324,-0.009321746065738124,-0.0003017943657886851
0.88,0.88,-0.00011897692695294387,-0.0006088073623881439,-0.00011907927222993845
0.89,0.89,-0.0009882755786060355,-0.0011102615003971356,-0.0009883260663461084
0.9,0.9,-0.0014142380565270115,-0.0014840665064667115,-0.0014143514239040502
0.91,0.91,-0.001627472364327753,-0.0016999482333362528,-0.0016275921817211
0.92,0.92,-0.015163208237855594,-0.0022369761660590943,-0.015163361642904369
0.93,0.93,-0.012509634443460902,-0.005332969049888202,-0.012509840642633342
0.94,0.94,-0.007102219309966045,-0.008619364091834945,-0.00710236090619155
0.95,0.95,-0.13054550188616584,-0.039377362708027865,-0.13054554854586442
0.96,0.96,-0.011160977521888965,-0.06687212867069807,-0.011161037153953411
0.97,0.97,-0.04047060674805869,,-0.040470715123067255
0.98,0.98,,,
0.99,0.99,,,
0.1,0.2,-2.6050693767420133e-08,-1.0750418830627684e-07,-4.6296688846318595e-08
0.1,0.3,-2.8656986646840546e-07,,-2.376794327315717e-07
0.1,0.4,-2.0990465408693466e-07,,-1.3095335452652792e-07
0.1,0.5,-6.387389411445186e-07,,-4.951479387680362e-07
0.1,0.6,-5.727717907821132e-07,,-2.932770623457593e-08
0.1,0.7,-4.743963101603875e-07,,-3.751789920573248e-07
0.1,0.8,-1.3447108401244903e-06,,-8.185260163965398e-07
0.1,0.9,-9.146753357973349e-07,,-8.321998675226913e-07
0.2,0.3,-4.6607885297661794e-07,-5.778992244581398e-07,-4.768514375497351e-07
0.2,0.4,-1.0529307654262238e-06,-6.54832347936517e-07,-9.797350298700566e-07
0.2,0.5,-1.1900499811370884e-06,-1.4326946808910522e-06,-1.0904138739414163e-06
0.2,0.6,-2.5581014092786027e-06,,-2.4857630678716087e-06
0.2,0.7,-1.2811887613909945e-06,,-1.1576074395649762e-06
