m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.0,0.0,1.7185827874083427e-09,4.878013125456311e-10,8.696437177184561e-10
0.01,0.01,-8.528570574831533e-09,-1.0965465699742443e-08,-1.1102127434084756e-08
0.02,0.02,-3.596601435913735e-08,-2.5595073958614955e-08,-3.55033514920736e-08
0.03,0.03,-2.9605927549123797e-08,-3.804111805705469e-08,-2.983222721558004e-08
0.04,0.04,-2.47169521848927e-08,-5.695438408337827e-08,-2.5496446598279695e-08
0.05,0.05,-9.639351931550699e-08,-5.944699129904613e-08,-9.652010469713185e-08
0.06,0.06,-6.097789906445727e-08,-7.682012303167422e-08,-5.979209312195014e-08
0.07,0.07,-5.007573429233166e-08,-6.57455590297214e-08,-5.031094834706233e-08
0.08,0.08,-1.0533066166493196e-07,-5.282986053587515e-08,-1.0810067948793412e-07
0.09,0.09,-1.405044006820822e-07,-1.3234370480246284e-07,-1.4311690325057783e-07
0.1,0.1,-1.6588307329935468e-07,-1.75875419674164e-07,-1.6649614152059264e-07
0.11,0.11,-1.5771512864922063e-07,-1.7128994500050002e-07,-1.5777094753608544e-07
0.12,0.12,-8.208947646681057e-08,-3.149500231907119e-07,-8.518995525615583e-08
0.13,0.13,-2.2987598184585136e-07,-1.8505823667319314e-07,-2.2907778295685975e-07
0.14,0.14,-1.4672722168228543e-07,-9.962982376500998e-08,-1.4684862500640633e-07
0.15,0.15,-2.0790505209838471e-07,-1.8040386649991447e-07,-2.0807945194302162e-07
0.16,0.16,-4.5102133528491965e-07,-2.5895450422904026e-07,-4.536350176265049e-07
0.17,0.17,-1.2489995324404962e-07,-1.784646167631108e-07,-1.2806770623771045e-07
0.18,0.18,-4.401295233667062e-07,-5.060030569699037e-07,-4.411310518511686e-07
0.19,0.19,-4.2254401113421943e-07,-4.5024417653554303e-07,-4.219698101199105e-07
0.2,0.2,-3.8968709385235547e-07,-6.756415882027892e-07,-3.891154690891604e-07
0.21,0.21,-4.980983514004132e-07,-4.5246525006579006e-07,-4.996237832099635e-07
0.22,0.22,-4.602681266963244e-07,-3.4269509294382e-07,-4.608906447896138e-07
0.23,0.23,-6.001647833654618e-07,-1.3313540233924215e-06,-6.011066608841205e-07
0.24,0.24,-7.545214010389808e-07,-6.839685067392347e-07,-7.541703868586191e-07
0.25,0.25,-3.0401552025113245e-07,-5.542240251147946e-07,-3.0640554977521297e-07
0.26,0.26,-4.485324493081566e-07,-3.584394317550747e-07,-4.48468984524815e-07
0.27,0.27,-6.059255766752165e-07,-6.813458635244674e-07,-6.07456316800395e-07
0.28,0.28,-5.356817315154068e-07,-9.870702696711682e-07,-5.356212324242045e-07
0.29,0.29,-7.79546296144707e-07,-1.4004630172532264e-06,-7.810376936015913e-07
0.3,0.3,-7.098612248041467e-07,-9.135584787399495e-07,-7.105100859640166e-07
0.31,0.31,-9.57083790941366e-07,-1.3265861979532006e-06,-9.57359051818762e-07
0.32,0.32,-8.336670088882333e-07,-7.6134980299742e-07,-8.352686507933287e-07
0.33,0.33,-8.477411027610095e-07,-1.0084746448186394e-06,-8.478276946987962e-07
0.34,0.34,-1.7951755879474094e-06,-2.0769648792410698e-06,-1.7941455131885963e-06
0.35,0.35,-1.0119895248188034e-06,-1.1568832659916472e-06,-1.0110044056963116e-06
0.36,0.36,-1.1605796048992643e-06,-1.4917995093247902e-06,-1.1606906779073943e-06
0.37,0.37,-2.8955966652815617e-06,-1.4427284321023603e-06,-2.8971798367538573e-06
0.38,0.38,-2.3777133715963366e-06,-2.38741896986225e-06,-2.379052160619572e-06
0.39,0.39,-1.2002521465746488e-06,-1.85547073932622e-06,-1.2004710723503348e-06
0.4,0.4,-1.5644711935202045e-06,-2.077482342737823e-06,-1.565641997031855e-06
0.41,0.41,-2.0519881914177855e-06,-1.15050958027939e-06,-2.052202993747599e-06
0.42,0.42,-2.0572446433158e-06,-1.9174170508452235e-06,-2.058383810576222e-06
0.43,0.43,-1.6528273888760526e-06,-3.913532311515765e-06,-1.6538143487728395e-06
0.44,0.44,-4.1507979416016324e-06,-4.367911510033207e-06,-4.150980175412209e-06
0.45,0.45,-6.031171936434524e-06,-1.4291261521184332e-06,-6.031949789068059e-06
0.46,0.46,-2.2455374616150384e-06,-2.8742507439899735e-06,-2.246727168762173e-06
0.47,0.47,-4.8647008041144665e-06,-3.964967177210345e-06,-4.867595217285226e-06
0.48,0.48,-4.431738850453588e-06,-3.239020204229196e-06,-4.432866248940768e-06
0.49,0.49,-3.474648046280454e-06,-2.1064555199370206e-06,-3.4767747164137448e-06
0.5,0.5,-7.092105969718584e-06,-5.810277413072906e-06,-7.092976293949637e-06
0.51,0.51,-4.668657358173204e-06,-3.967944883011926e-06,-4.669782113504803e-06
0.52,0.52,-4.699212153833439e-06,-6.632361924759194e-06,-4.700217593196367e-06
