m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.0,0.0,-6.265334337200376e-06,-8.868580134199777e-06,2.8613634169994545e-06
0.01,0.01,-8.116591110480034e-05,-0.0001128020056221004,-5.596276778390037e-05
0.02,0.02,-0.00022854284210689982,-0.00019831949056320006,-0.00022553310168320004
0.03,0.03,-0.00032842189408629867,-0.00034153428722999944,-0.00032185979211579903
0.04,0.04,-0.00045362696026450024,-0.00041673816536130087,-0.0004249492957487007
0.05,0.05,-0.0005530206155843001,-0.0005470358903405994,-0.0005327291410353006
0.06,0.06,-0.0006648666440449008,-0.0005111533007614005,-0.000661884466304101
0.07,0.07,-0.0008745314960158009,-0.000755403749945701,-0.0008375599576418997
0.08,0.08,-0.0009259744459540996,-0.0007307420307618995,-0.0008897439850639004
0.09,0.09,-0.0009543173816617002,-0.0009850489784681005,-0.0009307303972041995
0.1,0.1,-0.001126011796774901,-0.0010939074821314006,-0.0011303398671374011
0.11,0.11,-0.0011309853920942001,-0.0011321501131786003,-0.0011179828110324998
0.12,0.12,-0.0012764115070928,-0.001708035701732901,-0.0012590054859694996
0.13,0.13,-0.0015230071100641,-0.0014042145337292006,-0.0015011120865580999
0.14,0.14,-0.0017638335621080001,-0.0014678491153029011,-0.0017366547017745003
0.15,0.15,-0.0019136529667954996,-0.0016390133247389995,-0.0018751686810925
0.16,0.16,-0.0019565672753544,-0.0019492366957024002,-0.0019270849364815008
0.17,0.17,-0.0020568496542213,-0.0020202043170358987,-0.0020011751386780005
0.18,0.18,-0.0022407687083938997,-0.0022334206071726002,-0.002195358941666
0.19,0.19,-0.0023669296914823005,-0.002398361216030301,-0.0023149624987079
0.2,0.2,-0.0025646197492679,-0.0026393179917426,-0.0025318957226763
0.21,0.21,-0.0027689697696233993,-0.002638204376163,-0.0027286357653533
0.22,0.22,-0.0025607205855274987,-0.0026403790082646997,-0.0025228368403556
0.23,0.23,-0.0027331793936958004,-0.0029281880194256,-0.002681411478828501
0.24,0.24,-0.003098663581755999,-0.0033655402758961984,-0.0030483334636912003
0.25,0.25,-0.003406279893055501,-0.0034100584203272007,-0.0033393229348255005
0.26,0.26,-0.0034616211652063987,-0.0038123602787273995,-0.0034147247292408995
0.27,0.27,-0.0032986677104302007,-0.003915828822445001,-0.003235503817338701
0.28,0.28,-0.0037691590932307003,-0.0037995030155408994,-0.0037256114611856003
0.29,0.29,-0.004075801580367,-0.003882523235882101,-0.003994761801136799
0.3,0.3,-0.0044245789744427,-0.0042824223745789,-0.004359097474328199
0.31,0.31,-0.0041800527288,-0.0044381380833268,-0.004116329616379
0.32,0.32,-0.0049449793723907,-0.004628563951251701,-0.0048684264704816
0.33,0.33,-0.005202492636656101,-0.004573670438351501,-0.0051482568128662
