m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.0,0.0,-3.787478936500069e-05,9.510104605589889e-05,-9.180530412870001e-05
0.01,0.01,-9.156731037010014e-05,-0.0001255305603326002,-5.737844877199902e-06
0.02,0.02,-4.70293317474009e-05,-0.0001109968925773995,-0.00010995975439649988
0.03,0.03,-0.0004452203958266003,-0.00040618398139389937,-0.0004464393006999995
0.04,0.04,-0.00037272723028139963,-0.00037881862966769944,-0.0002301587339592001
0.05,0.05,-0.0005405177600021002,-0.0003940715833149998,-0.0005938369313974994
0.06,0.06,-0.0007467883657119,-0.0006768670818969001,-0.0005936394143608009
0.07,0.07,-0.0007674085088025008,-0.0007754306585259999,-0.0007639679810287001
0.08,0.08,-0.0008307422282595994,-0.0009057417241361988,-0.000710188270486101
0.09,0.09,-0.0011204033784084997,-0.0009404187383066,-0.0010613687321015999
0.1,0.1,-0.0013163729129484006,-0.0009324346426679998,-0.0012952982172601997
0.11,0.11,-0.0011178055415609987,-0.001045561269700599,-0.0011087645129905996
0.12,0.12,-0.0011236680305140006,-0.0011099009656589005,-0.0011598274122105005
0.13,0.13,-0.0014947580396623,-0.0012818424847739,-0.0012342701202605003
0.14,0.14,-0.001531183311517999,-0.001480778503854899,-0.0014369946969778006
0.15,0.15,-0.0017662681359073996,-0.001802173873784299,-0.0015978060866458001
0.16,0.16,-0.0018563897343824992,-0.001989767489942,-0.0015822575609662996
0.17,0.17,-0.0019406563372668002,-0.0018539036289300006,-0.0017515350021050004
0.18,0.18,-0.002307442423075701,-0.0022658018670889003,-0.0021975981037845004
0.19,0.19,-0.0022825587637561005,-0.0022680065559488004,-0.0022037634724430995
0.2,0.2,-0.002250957348880901,-0.0024319634391171997,-0.0022270582332851
0.21,0.21,-0.0025853222070015003,-0.0026122764831515,-0.0023396110713709006
0.22,0.22,-0.002918515956039201,-0.0028450432735101,-0.0027658173078699
0.23,0.23,-0.0030904641959139997,-0.0027168481271162993,-0.0030251209126970005
0.24,0.24,-0.0032655851395832994,-0.0032878743509038005,-0.0031404741462816993
0.25,0.25,-0.003277197180956799,-0.003310639775803299,-0.0029162509105466004
0.26,0.26,-0.0038776993037864006,-0.0038167107596046006,-0.0037329018861512013
