m,M,epsilon_of_M,delta_of_M,original_average,average_laplace,average_gaussian,AE_laplace,AE_gaussian
0.0,0.0,0.25,9.432016056618942e-10,40.437455852092995,40.469719646692226,40.44643704281903,0.03226379459923123,0.00898119072603265
0.0,0.0,0.25,9.432016056618942e-10,40.437455852092995,40.43284747181726,40.45866391172646,0.004608380275733737,0.021208059633465837
0.0,0.0,0.25,9.432016056618942e-10,40.437455852092995,40.421784158677475,40.46585904821343,0.015671693415519883,0.02840319612043629
0.0,0.0,0.25,9.432016056618942e-10,40.437455852092995,40.45132289675709,40.42160951257265,0.013867044664095829,0.015846339520344088
0.0,0.0,0.25,9.432016056618942e-10,40.437455852092995,40.429707921573126,40.42511409569679,0.007747930519869328,0.012341756396203607
0.0,0.0,0.25,9.432016056618942e-10,40.437455852092995,40.463141821388746,40.33247744841269,0.02568596929575051,0.10497840368030609
0.0,0.0,0.25,9.432016056618942e-10,40.437455852092995,40.43056699416932,40.32369853563883,0.006888857923676994,0.1137573164541621
0.0,0.0,0.25,9.432016056618942e-10,40.437455852092995,40.444135488280985,40.38041845141751,0.006679636187989502,0.05703740067548324
0.0,0.0,0.25,9.432016056618942e-10,40.437455852092995,40.42732023907377,40.49968182885469,0.010135613019222944,0.06222597676169528
0.0,0.0,0.25,9.432016056618942e-10,40.437455852092995,40.421219482920115,40.35207028363437,0.01623636917287996,0.08538556845862644
0.0,0.0,0.25,9.432016056618942e-10,40.437455852092995,40.47749093913337,40.45395101011994,0.04003508704037273,0.01649515802694168
0.0,0.0,0.25,9.432016056618942e-10,40.437455852092995,40.3773231848762,40.4837788313701,0.06013266721679855,0.04632297927710738
0.0,0.0,0.25,9.432016056618942e-10,40.437455852092995,40.470306234812426,40.48055618960787,0.03285038271943108,0.04310033751487197
0.0,0.0,0.25,9.432016056618942e-10,40.437455852092995,40.40065480668274,40.443195822032976,0.036801045410257416,0.005739969939980938
0.0,0.0,0.25,9.432016056618942e-10,40.437455852092995,40.427146838845836,40.410885557604644,0.010309013247159271,0.026570294488351465
0.0,0.0,0.25,9.432016056618942e-10,40.437455852092995,40.46860057717414,40.29760694068903,0.031144725081148295,0.13984891140396627
0.0,0.0,0.25,9.432016056618942e-10,40.437455852092995,40.48376277302934,40.564399364656936,0.046306920936345364,0.12694351256394043
0.0,0.0,0.25,9.432016056618942e-10,40.437455852092995,40.392714492229494,40.34141442118396,0.04474135986350092,0.0960414309090325
0.0,0.0,0.25,9.432016056618942e-10,40.437455852092995,40.410787856319914,40.353314017334775,0.026667995773081543,0.08414183475822057
0.0,0.0,0.25,9.432016056618942e-10,40.437455852092995,40.415889801323544,40.24301164141546,0.02156605076945084,0.19444421067753836
0.0,0.0,0.25,9.432016056618942e-10,40.437455852092995,40.418095890972985,40.3554084668943,0.019359961120009928,0.08204738519869181
0.0,0.0,0.25,9.432016056618942e-10,40.437455852092995,40.41031097138418,40.4142321719137,0.02714488070881771,0.023223680179292217
0.0,0.0,0.25,9.432016056618942e-10,40.437455852092995,40.403853723872594,40.5510956404701,0.03360212822040154,0.11363978837710675
0.0,0.0,0.25,9.432016056618942e-10,40.437455852092995,40.4466327659995,40.33127476071228,0.009176913906507878,0.10618109138071219
0.0,0.0,0.25,9.432016056618942e-10,40.437455852092995,40.4337510151795,40.42366657758018,0.0037048369134922154,0.013789274512816974
0.0,0.0,0.25,9.432016056618942e-10,40.437455852092995,40.45266608011909,40.42276058632026,0.015210228026091954,0.014695265772736832
0.0,0.0,0.25,9.432016056618942e-10,40.437455852092995,40.48557880094743,40.34926943638538,0.048122948854434355,0.08818641570761798
0.0,0.0,0.25,9.432016056618942e-10,40.437455852092995,40.43493544641824,40.276537780540274,0.002520405674758308,0.16091807155272164
0.0,0.0,0.25,9.432016056618942e-10,40.437455852092995,40.47160426304321,40.52754435617068,0.034148410950216146,0.0900885040776842
0.0,0.0,0.25,9.432016056618942e-10,40.437455852092995,40.440873204858036,40.36749759693869,0.0034173527650409596,0.06995825515430454
