m,M,original_average,suppressed_database_average,suppressed_database_sum,suppressed_database_number_of_elements
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
0.0,0.0,40.437455852092995,40.437455852092995,1316684,32561
