m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.33,0.33,4.165871658716587,-1.929405776334245e-05,-1.937407587353723e-05,-1.9223627638993094e-05,-1.9242242937831777e-05,-1.9259334487655204e-05,-1.9106540008710176e-05
0.34,0.34,4.165871658716587,-1.6618847008425792e-05,-1.6421727198549344e-05,-1.6519701042338274e-05,-1.6896011190181864e-05,-1.65659786731719e-05,-1.62273699189523e-05
0.35,0.35,4.165871658716587,-1.740151936611701e-05,-1.851475534158362e-05,-1.7587321114342378e-05,-1.757071360774015e-05,-1.7318800549510975e-05,-1.819331286054741e-05
0.36,0.36,4.165871658716587,-1.9856079389859342e-05,-2.1491738835375572e-05,-2.0123684521764714e-05,-1.9881180190808294e-05,-1.9769495231080828e-05,-2.123265344800256e-05
0.37,0.37,4.165871658716587,-2.187541627897428e-05,-2.2404303181155712e-05,-2.1756856163089e-05,-2.2644101096502787e-05,-2.18451121323691e-05,-2.2063816018295462e-05
0.38,0.38,4.165871658716587,-2.2570721021647975e-05,-2.4821505054949155e-05,-2.267105253054905e-05,-2.4710767572149018e-05,-2.2522846796409593e-05,-2.441932205579922e-05
0.39,0.39,4.165871658716587,-2.1040364858814685e-05,-2.2428570388583095e-05,-2.0210958163600347e-05,-2.0494388118262095e-05,-2.0991843632883244e-05,-2.20038202879708e-05
0.4,0.4,4.165871658716587,-2.2906292703201765e-05,-2.3777388264109495e-05,-2.283736518846614e-05,-2.4253150677981773e-05,-2.2795774779623753e-05,-2.3290837723180656e-05
0.41,0.41,4.165871658716587,-2.4262499655174497e-05,-2.6366265991934477e-05,-2.455261518840841e-05,-2.4809504147321165e-05,-2.4185227349585335e-05,-2.591067956801376e-05
0.42,0.42,4.165871658716587,-2.544721269028541e-05,-2.5948727577093764e-05,-2.552339898083527e-05,-2.57791740572717e-05,-2.5350787376731994e-05,-2.539522702941424e-05
0.43,0.43,4.165871658716587,-2.9444534608531118e-05,-2.8098920314356367e-05,-2.9170265887913053e-05,-3.080232616792457e-05,-2.9382433381152648e-05,-2.763475408744986e-05
0.44,0.44,4.165871658716587,-2.57368043691039e-05,-2.7170565825533467e-05,-2.5529445243219554e-05,-2.6142723711695472e-05,-2.5626533502586352e-05,-2.664028646613873e-05
0.45,0.45,4.165871658716587,-3.344156113489959e-05,-3.347654538033718e-05,-3.359194042436818e-05,-3.2812457115881575e-05,-3.334793302035631e-05,-3.2956682860121544e-05
0.46,0.46,4.165871658716587,-3.165899339874683e-05,-3.3328661244234285e-05,-3.238995088479809e-05,-3.231902479140926e-05,-3.159663951866549e-05,-3.279272756173481e-05
0.47,0.47,4.165871658716587,-3.100160747998906e-05,-3.019010257606409e-05,-3.0511825269324876e-05,-3.101925106846542e-05,-3.088562854591594e-05,-2.9417136543422493e-05
0.48,0.48,4.165871658716587,-3.150125048022776e-05,-3.186232459799617e-05,-3.144132375704955e-05,-3.1006240044246844e-05,-3.136059100543456e-05,-3.131100166991784e-05
0.49,0.49,4.165871658716587,-3.790914085742709e-05,-3.79305208906002e-05,-3.7504974856452783e-05,-3.7353836929137355e-05,-3.778871840953802e-05,-3.7333183811435145e-05
0.5,0.5,4.165871658716587,-4.0077604830866024e-05,-4.055032913731832e-05,-4.016181884876758e-05,-4.128660607194576e-05,-3.992775843184554e-05,-3.985544821616294e-05
0.51,0.51,4.165871658716587,-3.9599664268733686e-05,-4.041305956712197e-05,-4.0184319552429914e-05,-3.805895396461068e-05,-3.948584581898738e-05,-3.985768581849818e-05
0.52,0.52,4.165871658716587,-4.453597516326233e-05,-4.38043280386456e-05,-4.33177961178043e-05,-4.263156311679958e-05,-4.4391470140447984e-05,-4.305352228620153e-05
0.53,0.53,4.165871658716587,-4.0073713325580604e-05,-4.210673391985894e-05,-3.853582226044242e-05,-3.740660028778489e-05,-3.9895551120494324e-05,-4.144176454671264e-05
0.54,0.54,4.165871658716587,-4.678441023280753e-05,-5.1439971535082e-05,-4.6790933412304065e-05,-4.6922074717889796e-05,-4.661097612689207e-05,-5.069565457879468e-05
0.55,0.55,4.165871658716587,-4.854192943319994e-05,-5.137849759107305e-05,-4.8166342752922737e-05,-5.075300734579968e-05,-4.842615613765883e-05,-5.061161136705649e-05
0.56,0.56,4.165871658716587,-4.324196411227801e-05,-4.2809508871246e-05,-4.3617197924926664e-05,-4.451753334079719e-05,-4.305834520663184e-05,-4.221602514440685e-05
0.57,0.57,4.165871658716587,-4.997820730030878e-05,-5.2119297658853295e-05,-5.0323336807767154e-05,-5.1046513830580934e-05,-4.974459500317149e-05,-5.125566521309342e-05
0.58,0.58,4.165871658716587,-5.079054416303845e-05,-5.2600857577403247e-05,-5.0306446955164925e-05,-5.221831855256709e-05,-5.053546160959086e-05,-5.1644792805628244e-05
0.59,0.59,4.165871658716587,-4.728221545777622e-05,-4.961252862890447e-05,-4.635810357641158e-05,-4.747567352986538e-05,-4.708289576570531e-05,-4.8615325946379656e-05
0.6,0.6,4.165871658716587,-5.327499933171121e-05,-5.5763558119019894e-05,-5.25479015261882e-05,-5.237619414876151e-05,-5.300096929199462e-05,-5.471840171820215e-05
0.61,0.61,4.165871658716587,-6.254654047478445e-05,-6.542842853500074e-05,-6.338641297855911e-05,-6.472391807865598e-05,-6.233260567055508e-05,-6.438799580464326e-05
0.62,0.62,4.165871658716587,-7.163765551132631e-05,-7.29261154542971e-05,-7.135247689304093e-05,-7.204510304566818e-05,-7.141041159353315e-05,-7.175108015415669e-05
0.63,0.63,4.165871658716587,-5.7840438998767644e-05,-5.9253581457187124e-05,-5.819852203042309e-05,-5.8331168831067664e-05,-5.757183256986039e-05,-5.810719055108553e-05
0.64,0.64,4.165871658716587,-7.359672890060368e-05,-7.73767370469411e-05,-7.314731366799599e-05,-7.233391952055906e-05,-7.339037520001064e-05,-7.591701616967561e-05
0.65,0.65,4.165871658716587,-6.627559037108623e-05,-7.300117551587462e-05,-6.589575387006287e-05,-6.805345378252346e-05,-6.60511908896097e-05,-7.191634884419727e-05
0.66,0.66,4.165871658716587,-7.046419893659488e-05,-7.156987632772975e-05,-7.020130751250754e-05,-6.919485099065094e-05,-7.014721674981457e-05,-7.00896595308068e-05
0.67,0.67,4.165871658716587,-7.269464857027575e-05,-7.519205097860619e-05,-7.276669448206356e-05,-7.423437464188061e-05,-7.24270697063117e-05,-7.36052967859734e-05
0.68,0.68,4.165871658716587,-7.559577632003462e-05,-7.370971493081004e-05,-7.597114801978022e-05,-7.375165317391302e-05,-7.534025089941647e-05,-7.234262683560085e-05
0.69,0.69,4.165871658716587,-9.780527273413137e-05,-9.615351176500171e-05,-9.595111681925927e-05,-9.656408947250398e-05,-9.747248226113365e-05,-9.464784153892648e-05
0.7,0.7,4.165871658716587,-9.171775496046962e-05,-9.406068755808728e-05,-9.136821113093234e-05,-9.087516500093006e-05,-9.137047686290457e-05,-9.233678519200879e-05
0.71,0.71,4.165871658716587,-9.08474435813577e-05,-9.57696070726259e-05,-9.047108199395372e-05,-9.180047054432198e-05,-9.049539135331021e-05,-9.364761360641224e-05
0.72,0.72,4.165871658716587,-8.693499000260515e-05,-9.462798043681163e-05,-8.764185237443094e-05,-8.744024873757316e-05,-8.649886542279686e-05,-9.274974715197357e-05
0.73,0.73,4.165871658716587,-0.00010745055953688775,-0.00011636405024605009,-0.00010656730005938775,-0.00010543861255735009,-0.0001069335828357488,-0.00011420371733535323
0.74,0.74,4.165871658716587,-0.00010794043318041156,-0.00011892299628164393,-0.00010526314431331156,-0.00010967363443814394,-0.00010745356794424991,-0.0001168451373334397
0.75,0.75,4.165871658716587,-0.00011356186874011194,-0.0001200815776654783,-0.00011059098477621193,-0.00011455384796957829,-0.00011304839332045222,-0.00011783665633965743
0.76,0.76,4.165871658716587,-0.00012569435870323813,-0.00012886100682396544,-0.0001258938187234381,-0.00012496116564496545,-0.00012517046555453941,-0.0001264249051763664
0.77,0.77,4.165871658716587,-0.000130507853095317,-0.00013595140277317098,-0.000126898933591217,-0.000129404488541471,-0.00012984059963578855,-0.00013324380279055686
0.78,0.78,4.165871658716587,-0.00013049471551420535,-0.00013866059216278731,-0.00012923925454590534,-0.00013428756464708733,-0.00012973690188613184,-0.00013538889374632043
0.79,0.79,4.165871658716587,-0.00011941265486927975,-0.0001246193474124938,-0.00012068026434687976,-0.00012234147301919381,-0.00011863788826500662,-0.00012178083455673661
0.8,0.8,4.165871658716587,-0.0001588334917725241,-0.00016680503520187653,-0.0001582082699035241,-0.00015742934699057652,-0.00015802216376714157,-0.00016371493681977288
0.81,0.81,4.165871658716587,-0.0001495558233906059,-0.0001530472812290365,-0.0001480743117615059,-0.0001472904136438365,-0.0001486347774066052,-0.00014866912695328576
0.82,0.82,4.165871658716587,-0.00015695625964616983,-0.0001583756067056657,-0.00015406512364236983,-0.0001613524186623657,-0.00015602733142962993,-0.0001540415205128583
0.83,0.83,4.165871658716587,-0.00019552455436649513,-0.00020741145935306737,-0.00019202831023099512,-0.00019119125602076736,-0.00019426423303876814,-0.0002028941793579576
0.84,0.84,4.165871658716587,-0.0002035710450977925,-0.00023582418935544382,-0.0002009371100470925,-0.0002057868802816438,-0.0002025083876351751,-0.0002318766081547387
0.85,0.85,4.165871658716587,-0.00022499942675088447,-0.00023563497333201685,-0.00022630960267548447,-0.00022926407785391685,-0.00022346182847942397,-0.00023004380640660767
0.86,0.86,4.165871658716587,-0.00025715211356650507,-0.000288450746748926,-0.0002512476650404051,-0.00025436061585042596,-0.0002553973016236119,-0.0002824505971302008
0.87,0.87,4.165871658716587,-0.00022997593842140175,-0.0002601348229091594,-0.00023665574360670174,-0.0002405934111062594,-0.00022805325654574204,-0.0002529501750813268
0.88,0.88,4.165871658716587,-0.00029332746520678875,-0.0003116684417337997,-0.00028977082151748876,-0.0002841791243621997,-0.0002905173804637706,-0.00030381245843964295
0.89,0.89,4.165871658716587,-0.0003324714635819572,-0.00036992356189936035,-0.0003257112173362572,-0.00032724166001066036,-0.00033044082533132356,-0.00035991030893032947
0.9,0.9,4.165871658716587,-0.0003139817863478536,-0.0003749311218099455,-0.0003005979000734536,-0.00032149174346324553,-0.00031078902637075444,-0.0003637122858387959
0.91,0.91,4.165871658716587,-0.00033603153264207995,-0.0003580560108795937,-0.00031046060611817993,-0.00032418329736389373,-0.0003318313656144385,-0.0003449408862557266
0.92,0.92,4.165871658716587,-0.00042975907823222836,-0.000460542170040191,-0.00041789592908002835,-0.000440517927686491,-0.00042489030692875946,-0.0004439541682548779
0.93,0.93,4.165871658716587,-0.00047004890113458507,-0.0005639784454899571,-0.00043429839636278505,-0.0004444726092231572,-0.0004638244115961713,-0.00054196254828785
