m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.0,0.0,-0.004448352232072683,-0.004720948923240487,-0.008467005002355477
0.01,0.01,-0.005606119644103513,0.002662784278733288,0.0013450949073712803
0.02,0.02,-0.0032559847855309076,-0.0028429813678743088,0.003991538617532986
0.03,0.03,-0.010263366122411188,-0.004717778898337188,-0.0005077139389924601
0.04,0.04,-0.00496013421375191,0.00015588879181893667,0.007025149528063157
0.05,0.05,-0.012355201897174484,-0.006988827523627006,-0.008625309585653607
0.06,0.06,-0.003872077938250895,0.010452416835594558,0.002435068794059414
0.07,0.07,-0.01632131131724679,-0.0027838360421945096,-0.007414102961317226
0.08,0.08,-0.00048083741820920123,0.009680083288000074,0.006922980913126209
0.09,0.09,-0.01018899129608003,-0.00306196565530642,0.0019275332256490918
0.1,0.1,-0.020523658590530625,0.0011416915814346784,-0.009909639480600085
0.11,0.11,-0.020005692107798623,-0.0038703450444131926,0.0013013177133692766
0.12,0.12,-0.02029838800160738,0.00039034851433561446,-0.007686908007238591
0.13,0.13,-0.02666821523132068,-0.0029264631572444855,-0.015505023966045806
0.14,0.14,-0.018745852370398386,0.0037894259296362143,-0.008573466093414805
0.15,0.15,-0.027938397080003174,-0.001633948830333798,-0.0045286530637630995
0.16,0.16,-0.023484888574262175,-0.008895077832162479,-0.008957262761763674
0.17,0.17,-0.03232452011271508,-0.011224060776011957,-0.00402768092696032
0.18,0.18,-0.029206732884492825,-0.005800284146234402,-0.006552109456519406
0.19,0.19,-0.038765911731242386,-0.010148857604100003,-0.0060693594533942075
0.2,0.2,-0.03498786530118381,-0.002173485503338679,-0.0008459086493403101
0.21,0.21,-0.035708900760940354,-0.0009872516964659073,-0.00014655774211036476
0.22,0.22,-0.04306724492770775,-0.011385495549011138,0.0025432669599322333
0.23,0.23,-0.05127839075405949,-0.008828040274206195,-0.015377363006131295
0.24,0.24,-0.04406385768053417,-0.004895663047961796,-0.0020378423799349843
0.25,0.25,-0.05342954572494596,-0.015785732994660684,-0.008349848704552909
0.26,0.26,-0.05036724063169967,-0.00525950735128089,-0.0026800317401997065
0.27,0.27,-0.06082974488980086,-0.002361395532405164,-0.021759342561881723
0.28,0.28,-0.06510788382496668,-0.017964024973947,-0.022938115917554458
0.29,0.29,-0.06130246457573185,-0.0034020504934371143,-0.005859752526807593
0.3,0.3,-0.06563759697685623,-0.01065387371210369,-0.010016053675130365
0.31,0.31,-0.07448635627513894,-0.018139232315297904,-0.021254267733209375
