m,M,epsilon_of_M,delta_of_M,original_average,average_laplace,average_gaussian,AE_laplace,AE_gaussian
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2966.3838113150014,3155.1842507149076,3.738440944630838,192.53888034453712
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2920.4553217437247,2896.4807732125555,42.190048626645876,66.16459715781502
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2943.6295044796275,2853.4532933353175,19.015865890743044,109.19207703505299
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2954.7964518530052,3019.2125029605454,7.848918517365291,56.56713259017488
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2926.5061216128934,3269.8601841145655,36.13924875747716,307.214813744195
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2990.419480987637,2952.9964263175,27.774110617266615,9.64894405287032
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2862.018295398848,3060.074218880686,100.62707497152269,97.42884851031567
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2970.045474169957,3045.2781727087527,7.400103799586304,82.63280233838213
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2999.090643460863,3087.602925226609,36.445273090492265,124.9575548562384
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2940.1082630833725,3221.4440818607995,22.53710728699798,258.798711490429
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2967.146936833989,2717.7124815914453,4.501566463618474,244.9328887789252
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2890.30964350804,3106.1559821606875,72.33572686233038,143.51061179031694
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2915.832068978037,3032.9286761416065,46.813301392333415,70.28330577123597
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,3127.471033448382,3299.8468585389674,164.82566307801153,337.2014881685968
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2915.273782080428,3192.3968012633354,47.37158828994234,229.7514308929649
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2942.9442068525836,2935.979707774377,19.70116351778688,26.66566259599358
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,3065.6565785070648,2808.899091492039,103.01120813669422,153.7462788783314
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2984.3236211871185,2874.890233282267,21.678250816748005,87.75513708810331
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2936.3472563425717,3032.488610741512,26.298114027798874,69.84324037114129
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2930.398009353849,2996.9891930853432,32.24736101652161,34.3438227149727
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2931.710010864558,2795.639284242049,30.935359505812357,167.00608612832139
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2902.0401205870403,3117.751558510111,60.60524978333024,155.10618813974042
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2941.8323526357017,3417.6187831735974,20.813017734668847,454.9734128032269
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2954.334158262387,3100.828105367929,8.311212107983465,138.18273499755833
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2856.206002942157,3011.709915449088,106.4393674282137,49.0645450787174
