m,M,difference_laplace_error_M_minus_MoS,difference_gaussian_error_M_minus_MoS,difference_exponential_error_M_minus_MoS,difference_exponential_mechanism_error_M_minus_MoS,difference_laplace_error_M_minus_MoSChangeEpsDelta,difference_gaussian_error_M_minus_MoSChangeEpsDelta,difference_exponential_error_M_minus_MoSChangeEpsDelta,difference_exponential_mechanism_error_M_minus_MoSChangeEpsDelta,difference_laplace_error_MChangeEpsDelta_minus_MoS,difference_gaussian_error_MChangeEpsDelta_minus_MoS,difference_exponential_error_MChangeEpsDelta_minus_MoS,difference_exponential_mechanism_error_MChangeEpsDelta_minus_MoS
0.76,0.76,-0.6059999999999999,-0.4385,-0.5634999999999999,-0.504,-0.6099999999999999,-0.38949999999999996,-0.5389999999999999,-0.4705,-0.32049999999999995,-0.14350000000000002,-0.19749999999999995,-0.14950000000000002
0.77,0.77,-0.622,-0.451,-0.5785,-0.511,-0.592,-0.399,-0.5589999999999999,-0.47,-0.3245,-0.16899999999999998,-0.19,-0.1285
0.78,0.78,-0.6225,-0.458,-0.6025,-0.525,-0.616,-0.40900000000000003,-0.5635,-0.5,-0.30650000000000005,-0.14550000000000002,-0.22599999999999992,-0.1385
0.79,0.79,-0.6180000000000001,-0.4715,-0.603,-0.53,-0.6115,-0.4295,-0.5675,-0.48650000000000004,-0.30850000000000005,-0.1255,-0.1945,-0.13749999999999996
0.8,0.8,-0.631,-0.46649999999999997,-0.595,-0.5509999999999999,-0.631,-0.4115,-0.583,-0.5265,-0.31600000000000006,-0.16349999999999998,-0.16950000000000004,-0.137
0.81,0.81,-0.6575,-0.48449999999999993,-0.6355,-0.519,-0.6184999999999999,-0.40249999999999997,-0.5785,-0.48050000000000004,-0.3015,-0.163,-0.179,-0.08349999999999996
0.82,0.82,-0.6415,-0.49250000000000005,-0.6025,-0.556,-0.6355,-0.42700000000000005,-0.5695,-0.509,-0.303,-0.149,-0.13899999999999996,-0.09749999999999998
0.83,0.83,-0.6599999999999999,-0.501,-0.6359999999999999,-0.593,-0.627,-0.41050000000000003,-0.572,-0.5135,-0.28750000000000003,-0.17,-0.15600000000000003,-0.12299999999999997
0.84,0.84,-0.6725,-0.46399999999999997,-0.6379999999999999,-0.586,-0.658,-0.4149999999999999,-0.5985,-0.5255000000000001,-0.25449999999999995,-0.1505,-0.137,-0.096
0.85,0.85,-0.6835,-0.48650000000000004,-0.6705,-0.606,-0.6645,-0.4155,-0.6185,-0.5475000000000001,-0.247,-0.149,-0.11849999999999997,-0.07749999999999999
0.86,0.86,-0.6835,-0.49899999999999994,-0.6715,-0.611,-0.6865,-0.45249999999999996,-0.631,-0.5505,-0.26449999999999996,-0.14200000000000002,-0.141,-0.09799999999999998
0.87,0.87,-0.6715,-0.512,-0.6779999999999999,-0.5910000000000001,-0.6965,-0.48449999999999993,-0.6619999999999999,-0.5670000000000001,-0.235,-0.12300000000000003,-0.11000000000000001,-0.060500000000000026
0.88,0.88,-0.7045,-0.524,-0.6765,-0.609,-0.702,-0.47900000000000004,-0.6455,-0.5780000000000001,-0.239,-0.122,-0.07449999999999998,-0.06450000000000003
0.89,0.89,-0.7104999999999999,-0.544,-0.6964999999999999,-0.6174999999999999,-0.6884999999999999,-0.4615,-0.6299999999999999,-0.548,-0.214,-0.1335,-0.07350000000000001,-0.056999999999999995
0.9,0.9,-0.7260000000000001,-0.5485,-0.7264999999999999,-0.616,-0.7165,-0.49650000000000005,-0.6799999999999999,-0.5630000000000001,-0.19799999999999998,-0.13049999999999998,-0.060500000000000026,-0.04949999999999999
0.91,0.91,-0.7404999999999999,-0.558,-0.722,-0.6779999999999999,-0.7095,-0.496,-0.664,-0.596,-0.20700000000000002,-0.101,-0.05050000000000002,-0.05149999999999999
0.92,0.92,-0.752,-0.546,-0.726,-0.6739999999999999,-0.7245,-0.506,-0.6709999999999999,-0.593,-0.1765,-0.095,-0.03900000000000001,-0.04799999999999999
0.93,0.93,-0.7404999999999999,-0.5755,-0.727,-0.6875,-0.733,-0.5305,-0.6809999999999999,-0.6214999999999999,-0.10249999999999998,-0.094,-0.017500000000000016,-0.017499999999999988
0.94,0.94,-0.779,-0.5974999999999999,-0.7709999999999999,-0.692,-0.742,-0.5225,-0.693,-0.622,-0.13449999999999998,-0.1145,-0.045,-0.0015000000000000013
0.95,0.95,-0.7995,-0.6225,-0.7965,-0.7304999999999999,-0.754,-0.5495000000000001,-0.6995,-0.6345,-0.0975,-0.104,-0.029000000000000012,-0.023000000000000007
0.96,0.96,-0.8145,-0.6275000000000001,-0.8119999999999999,-0.738,-0.782,-0.549,-0.7294999999999999,-0.6495,-0.066,-0.1055,-0.018000000000000002,-0.0165
0.97,0.97,-0.831,-0.645,-0.824,-0.761,-0.791,-0.5655,-0.7454999999999999,-0.6755,-0.029999999999999985,-0.07200000000000001,-0.0005000000000000004,0.008
0.98,0.98,-0.8535,-0.6615,-0.838,-0.7705,-0.8165,-0.593,-0.758,-0.6930000000000001,-0.013999999999999999,-0.067,-0.0010000000000000009,0.0049999999999999975
0.99,0.99,-0.8845,-0.6945,-0.8595,-0.8065,-0.824,-0.63,-0.7895,-0.736,-0.0075,-0.044,-0.0005000000000000004,0.0024999999999999988
0.1,0.2,-0.29500000000000004,-0.12949999999999995,-0.27449999999999997,-0.19799999999999995,,,,,-0.35950000000000004,-0.40700000000000003,-0.37350000000000005,-0.382
0.1,0.3,-0.37150000000000005,-0.20350000000000001,-0.34099999999999997,-0.272,,,,,-0.43000000000000005,-0.494,-0.4625,-0.4565
0.1,0.4,-0.44699999999999995,-0.259,-0.379,-0.328,,,,,-0.508,-0.5505,-0.5,-0.5255000000000001
0.1,0.5,-0.4605000000000001,-0.299,-0.4119999999999999,-0.365,,,,,-0.5275000000000001,-0.5820000000000001,-0.5315,-0.5545
0.1,0.6,-0.5185,-0.33499999999999996,-0.47450000000000003,-0.4134999999999999,,,,,-0.5660000000000001,-0.608,-0.5855,-0.5954999999999999
0.1,0.7,-0.565,-0.42,-0.5315000000000001,-0.4595,,,,,-0.622,-0.6719999999999999,-0.6405000000000001,-0.655
0.1,0.8,-0.6214999999999999,-0.446,-0.59,-0.5150000000000001,,,,,-0.683,-0.7295,-0.7025,-0.706
0.1,0.9,-0.6779999999999999,-0.5135,-0.6655,-0.6045,,,,,-0.7344999999999999,-0.8005,-0.7775,-0.7975
0.2,0.3,-0.37849999999999995,-0.22299999999999998,-0.352,-0.2929999999999999,,,,,-0.44299999999999995,-0.40800000000000003,-0.4610000000000001,-0.45299999999999996
0.2,0.4,-0.4099999999999999,-0.23000000000000004,-0.386,-0.33049999999999996,,,,,-0.46699999999999997,-0.49400000000000005,-0.49350000000000005,-0.5135000000000001
0.2,0.5,-0.466,-0.2855,-0.446,-0.365,,,,,-0.5329999999999999,-0.5665,-0.548,-0.5545
0.2,0.6,-0.52,-0.342,-0.4779999999999999,-0.413,,,,,-0.587,-0.6185,-0.5985,-0.6054999999999999
0.2,0.7,-0.5760000000000001,-0.3985,-0.5589999999999999,-0.449,,,,,-0.6265000000000001,-0.677,-0.667,-0.6495
0.2,0.8,-0.6085,-0.40700000000000003,-0.58,-0.5255000000000001,,,,,-0.6739999999999999,-0.7105,-0.6995,-0.7185
0.2,0.9,-0.6805,-0.5149999999999999,-0.6645,-0.6064999999999999,,,,,-0.742,-0.8049999999999999,-0.781,-0.7915
0.3,0.4,-0.43400000000000005,-0.25949999999999995,-0.39499999999999996,-0.336,,,,,-0.4900000000000001,-0.384,-0.48000000000000004,-0.47600000000000003
0.3,0.5,-0.4665000000000001,-0.29650000000000004,-0.41700000000000004,-0.383,,,,,-0.5305,-0.5255000000000001,-0.542,-0.552
0.3,0.6,-0.521,-0.3335,-0.48149999999999993,-0.409,,,,,-0.5835,-0.6065,-0.6045,-0.601
