m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.74,0.74,0.5,2.2500450006750097e-10,0.9945,0.8605,0.977,0.96
0.75,0.75,0.5,2.2500450006750097e-10,0.997,0.877,0.9785,0.9565
0.76,0.76,0.5,2.2500450006750097e-10,0.9955,0.856,0.9725,0.9515
0.77,0.77,0.5,2.2500450006750097e-10,0.9965,0.8645,0.9755,0.9545
0.78,0.78,0.5,2.2500450006750097e-10,0.994,0.856,0.975,0.946
0.79,0.79,0.5,2.2500450006750097e-10,0.9955,0.8685,0.9755,0.9495
0.8,0.8,0.5,2.2500450006750097e-10,0.995,0.852,0.9755,0.95
0.81,0.81,0.5,2.2500450006750097e-10,0.993,0.8585,0.9765,0.9605
0.82,0.82,0.5,2.2500450006750097e-10,0.9975,0.864,0.9745,0.9495
0.83,0.83,0.5,2.2500450006750097e-10,0.9935,0.8615,0.9735,0.9455
0.84,0.84,0.5,2.2500450006750097e-10,0.9955,0.864,0.972,0.9555
0.85,0.85,0.5,2.2500450006750097e-10,0.993,0.865,0.978,0.95
0.86,0.86,0.5,2.2500450006750097e-10,0.997,0.859,0.9745,0.9475
0.87,0.87,0.5,2.2500450006750097e-10,0.996,0.8625,0.979,0.9425
0.88,0.88,0.5,2.2500450006750097e-10,0.996,0.8565,0.972,0.9515
0.89,0.89,0.5,2.2500450006750097e-10,0.995,0.8745,0.9785,0.9515
0.9,0.9,0.5,2.2500450006750097e-10,0.9935,0.858,0.973,0.951
0.91,0.91,0.5,2.2500450006750097e-10,0.996,0.853,0.973,0.9555
0.92,0.92,0.5,2.2500450006750097e-10,0.997,0.8535,0.975,0.956
0.93,0.93,0.5,2.2500450006750097e-10,0.996,0.874,0.976,0.942
0.94,0.94,0.5,2.2500450006750097e-10,0.9955,0.8335,0.9755,0.9515
0.95,0.95,0.5,2.2500450006750097e-10,0.9935,0.8655,0.973,0.964
0.96,0.96,0.5,2.2500450006750097e-10,0.9955,0.8535,0.978,0.957
0.97,0.97,0.5,2.2500450006750097e-10,0.994,0.8685,0.975,0.9495
0.98,0.98,0.5,2.2500450006750097e-10,0.9975,0.874,0.971,0.958
0.99,0.99,0.5,2.2500450006750097e-10,0.9975,0.864,0.9745,0.955
0.1,0.2,0.5,2.2500450006750097e-10,0.995,0.8595,0.9715,0.945
0.1,0.3,0.5,2.2500450006750097e-10,0.997,0.864,0.9755,0.962
0.1,0.4,0.5,2.2500450006750097e-10,0.997,0.879,0.9695,0.9505
0.1,0.5,0.5,2.2500450006750097e-10,0.9945,0.867,0.969,0.953
0.1,0.6,0.5,2.2500450006750097e-10,0.9955,0.858,0.9755,0.9525
