m,M,difference_laplace_error_M_minus_MoS,difference_gaussian_error_M_minus_MoS,difference_exponential_error_M_minus_MoS,difference_exponential_mechanism_error_M_minus_MoS,difference_laplace_error_M_minus_MoSChangeEpsDelta,difference_gaussian_error_M_minus_MoSChangeEpsDelta,difference_exponential_error_M_minus_MoSChangeEpsDelta,difference_exponential_mechanism_error_M_minus_MoSChangeEpsDelta,difference_laplace_error_MChangeEpsDelta_minus_MoS,difference_gaussian_error_MChangeEpsDelta_minus_MoS,difference_exponential_error_MChangeEpsDelta_minus_MoS,difference_exponential_mechanism_error_MChangeEpsDelta_minus_MoS
0.0,0.0,0.0020000000000000018,0.01100000000000001,0.0010000000000000009,-0.0014999999999999458,0.000500000000000056,0.0050000000000000044,0.0030000000000000027,-0.010000000000000009,0.0004999999999999449,0.016000000000000014,-0.0014999999999999458,0.0050000000000000044
0.01,0.01,-0.03300000000000003,-0.026000000000000023,-0.033499999999999974,-0.04349999999999998,-0.04049999999999998,-0.027000000000000024,-0.031500000000000083,-0.04599999999999993,-0.03200000000000003,-0.019000000000000017,-0.03949999999999998,-0.04149999999999998
0.02,0.02,-0.08650000000000002,-0.057499999999999996,-0.07950000000000002,-0.08650000000000002,-0.08399999999999996,-0.04749999999999999,-0.07550000000000001,-0.07550000000000001,-0.08450000000000002,-0.0595,-0.07000000000000006,-0.08399999999999996
0.03,0.03,-0.10950000000000004,-0.04699999999999993,-0.11050000000000004,-0.11750000000000005,-0.11850000000000005,-0.06099999999999994,-0.10350000000000004,-0.10950000000000004,-0.10850000000000004,-0.058499999999999996,-0.10950000000000004,-0.10799999999999998
0.04,0.04,-0.15549999999999997,-0.11250000000000004,-0.14849999999999997,-0.15249999999999997,-0.16200000000000003,-0.09450000000000003,-0.16249999999999998,-0.14149999999999996,-0.15300000000000002,-0.09350000000000003,-0.13849999999999996,-0.14649999999999996
0.05,0.05,-0.16400000000000003,-0.10050000000000003,-0.15800000000000003,-0.15000000000000002,-0.1665000000000001,-0.1120000000000001,-0.15900000000000003,-0.15449999999999997,-0.16100000000000003,-0.08050000000000002,-0.16149999999999998,-0.14100000000000001
0.06,0.06,-0.19800000000000006,-0.12149999999999994,-0.1925,-0.17700000000000005,-0.19300000000000006,-0.10599999999999998,-0.1835,-0.16649999999999998,-0.19700000000000006,-0.12249999999999994,-0.19000000000000006,-0.16749999999999998
0.07,0.07,-0.22499999999999998,-0.12649999999999995,-0.22350000000000003,-0.20299999999999996,-0.22299999999999998,-0.123,-0.22150000000000003,-0.19799999999999995,-0.22799999999999998,-0.127,-0.22199999999999998,-0.1995
0.08,0.08,-0.23850000000000005,-0.16100000000000003,-0.2230000000000001,-0.22350000000000003,-0.23450000000000004,-0.13350000000000006,-0.22050000000000003,-0.19500000000000006,-0.23299999999999998,-0.15049999999999997,-0.2230000000000001,-0.1975
0.09,0.09,-0.259,-0.16400000000000003,-0.24650000000000005,-0.23849999999999993,-0.24649999999999994,-0.14949999999999997,-0.23550000000000004,-0.23049999999999993,-0.255,-0.14800000000000002,-0.23199999999999998,-0.21399999999999997
