m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.73,0.73,1.0,2.2500450006750097e-10,0.3475,0.345,0.3405,0.3485
0.74,0.74,1.0,2.2500450006750097e-10,0.346,0.344,0.346,0.343
0.75,0.75,1.0,2.2500450006750097e-10,0.3475,0.3305,0.3425,0.344
0.76,0.76,1.0,2.2500450006750097e-10,0.3255,0.3255,0.3225,0.3265
0.77,0.77,1.0,2.2500450006750097e-10,0.3285,0.325,0.3285,0.321
0.78,0.78,1.0,2.2500450006750097e-10,0.3175,0.3135,0.322,0.3205
0.79,0.79,1.0,2.2500450006750097e-10,0.329,0.3175,0.328,0.327
0.8,0.8,1.0,2.2500450006750097e-10,0.3045,0.2945,0.302,0.298
0.81,0.81,1.0,2.2500450006750097e-10,0.3085,0.293,0.307,0.302
0.82,0.82,1.0,2.2500450006750097e-10,0.3045,0.3015,0.293,0.2975
0.83,0.83,1.0,2.2500450006750097e-10,0.3005,0.295,0.296,0.2905
0.84,0.84,1.0,2.2500450006750097e-10,0.2785,0.281,0.2855,0.2815
0.85,0.85,1.0,2.2500450006750097e-10,0.2795,0.2775,0.28,0.279
0.86,0.86,1.0,2.2500450006750097e-10,0.2675,0.25,0.267,0.2605
0.87,0.87,1.0,2.2500450006750097e-10,0.2515,0.242,0.247,0.253
0.88,0.88,1.0,2.2500450006750097e-10,0.2375,0.23,0.2315,0.2365
0.89,0.89,1.0,2.2500450006750097e-10,0.2395,0.229,0.2395,0.2315
0.9,0.9,1.0,2.2500450006750097e-10,0.2165,0.2125,0.212,0.21
0.91,0.91,1.0,2.2500450006750097e-10,0.23,0.2125,0.227,0.218
0.92,0.92,1.0,2.2500450006750097e-10,0.2115,0.207,0.2055,0.2085
0.93,0.93,1.0,2.2500450006750097e-10,0.2115,0.202,0.2025,0.206
0.94,0.94,1.0,2.2500450006750097e-10,0.186,0.176,0.1835,0.188
