m,M,difference_laplace_error_M_minus_MoS,difference_gaussian_error_M_minus_MoS,difference_exponential_error_M_minus_MoS,difference_exponential_mechanism_error_M_minus_MoS,difference_laplace_error_M_minus_MoSChangeEpsDelta,difference_gaussian_error_M_minus_MoSChangeEpsDelta,difference_exponential_error_M_minus_MoSChangeEpsDelta,difference_exponential_mechanism_error_M_minus_MoSChangeEpsDelta,difference_laplace_error_MChangeEpsDelta_minus_MoS,difference_gaussian_error_MChangeEpsDelta_minus_MoS,difference_exponential_error_MChangeEpsDelta_minus_MoS,difference_exponential_mechanism_error_MChangeEpsDelta_minus_MoS
0.26,0.26,-0.4175,-0.396,-0.405,-0.41000000000000003,-0.394,-0.373,-0.386,-0.38750000000000007,-0.4175,-0.367,-0.405,-0.40449999999999997
0.27,0.27,-0.39849999999999997,-0.383,-0.396,-0.3975000000000001,-0.41000000000000003,-0.392,-0.4135000000000001,-0.4115000000000001,-0.39849999999999997,-0.365,-0.39349999999999996,-0.39150000000000007
0.28,0.28,-0.402,-0.38449999999999995,-0.4065,-0.403,-0.406,-0.38449999999999995,-0.40349999999999997,-0.41000000000000003,-0.4015000000000001,-0.35,-0.40549999999999997,-0.4
0.29,0.29,-0.41000000000000003,-0.395,-0.41600000000000004,-0.4115,-0.40700000000000003,-0.385,-0.402,-0.399,-0.4095000000000001,-0.37249999999999994,-0.41300000000000003,-0.402
0.3,0.3,-0.40900000000000003,-0.40349999999999997,-0.4095,-0.406,-0.39749999999999996,-0.384,-0.402,-0.3945000000000001,-0.40900000000000003,-0.377,-0.4075,-0.401
0.31,0.31,-0.41500000000000004,-0.4015000000000001,-0.4145,-0.4105,-0.4215000000000001,-0.41300000000000003,-0.4175,-0.41700000000000004,-0.4145,-0.37,-0.4095,-0.39949999999999997
0.32,0.32,-0.44300000000000006,-0.43299999999999994,-0.44599999999999995,-0.44799999999999995,-0.4455,-0.4335,-0.4455,-0.44699999999999995,-0.4435,-0.3989999999999999,-0.4425,-0.4375
0.33,0.33,-0.4555,-0.4345,-0.45799999999999996,-0.4645,-0.44599999999999995,-0.42700000000000005,-0.4465,-0.44499999999999995,-0.4555,-0.40249999999999997,-0.4535,-0.4545
0.34,0.34,-0.4485,-0.44200000000000006,-0.45499999999999996,-0.4455,-0.4545,-0.43000000000000005,-0.45799999999999996,-0.4485,-0.4475,-0.40549999999999997,-0.45099999999999996,-0.43800000000000006
0.35,0.35,-0.4555,-0.44300000000000006,-0.46099999999999997,-0.4595,-0.4655,-0.4345,-0.4585,-0.45399999999999996,-0.45500000000000007,-0.4105,-0.4565,-0.44100000000000006
0.36,0.36,-0.4590000000000001,-0.44599999999999995,-0.45599999999999996,-0.46399999999999997,-0.4425,-0.4375,-0.4435,-0.43699999999999994,-0.4595,-0.40449999999999997,-0.4505,-0.45499999999999996
0.37,0.37,-0.45499999999999996,-0.43900000000000006,-0.4485,-0.45099999999999996,-0.46599999999999997,-0.4485,-0.46099999999999997,-0.4665,-0.45499999999999996,-0.4095,-0.4395,-0.44499999999999995
0.38,0.38,-0.487,-0.4700000000000001,-0.487,-0.48550000000000004,-0.45699999999999996,-0.43300000000000005,-0.4525,-0.4535,-0.48550000000000004,-0.4345,-0.48150000000000004,-0.4770000000000001
0.39,0.39,-0.484,-0.4595,-0.484,-0.477,-0.4645,-0.45000000000000007,-0.46499999999999997,-0.46399999999999997,-0.48350000000000004,-0.4205,-0.482,-0.46599999999999997
0.4,0.4,-0.48350000000000004,-0.4675,-0.48150000000000004,-0.48450000000000004,-0.5015000000000001,-0.48600000000000004,-0.497,-0.49850000000000005,-0.48250000000000004,-0.4225,-0.47650000000000003,-0.47250000000000003
0.41,0.41,-0.479,-0.4575,-0.48,-0.477,-0.475,-0.4605,-0.474,-0.484,-0.478,-0.4095000000000001,-0.47450000000000003,-0.46599999999999997
0.42,0.42,-0.491,-0.471,-0.4900000000000001,-0.48250000000000004,-0.486,-0.47450000000000003,-0.48750000000000004,-0.48850000000000005,-0.49,-0.4205,-0.48150000000000004,-0.4710000000000001
0.43,0.43,-0.49,-0.47350000000000003,-0.49350000000000005,-0.48150000000000004,-0.5125,-0.4935,-0.5095000000000001,-0.5145000000000001,-0.489,-0.4075000000000001,-0.484,-0.46799999999999997
0.44,0.44,-0.497,-0.48050000000000004,-0.497,-0.49150000000000005,-0.5065,-0.49500000000000005,-0.503,-0.511,-0.49650000000000005,-0.42400000000000004,-0.48850000000000005,-0.4820000000000001
0.45,0.45,-0.5145,-0.5005000000000001,-0.5145000000000001,-0.5185,-0.5065,-0.48300000000000004,-0.5070000000000001,-0.5025,-0.5130000000000001,-0.44800000000000006,-0.508,-0.49900000000000005
0.46,0.46,-0.518,-0.5005,-0.5155000000000001,-0.5115000000000001,-0.519,-0.505,-0.5225,-0.5205000000000001,-0.517,-0.432,-0.508,-0.49050000000000005
0.47,0.47,-0.506,-0.4965,-0.5025,-0.508,-0.5205,-0.496,-0.522,-0.5195000000000001,-0.5035000000000001,-0.42550000000000004,-0.49100000000000005,-0.48550000000000004
0.48,0.48,-0.525,-0.5085000000000001,-0.515,-0.5150000000000001,-0.5105,-0.49200000000000005,-0.51,-0.5145000000000001,-0.5235000000000001,-0.44200000000000006,-0.506,-0.4955
0.49,0.49,-0.5225,-0.504,-0.533,-0.5190000000000001,-0.527,-0.5105,-0.5295000000000001,-0.5250000000000001,-0.5210000000000001,-0.4335,-0.5205,-0.502
0.5,0.5,-0.5305,-0.511,-0.5335,-0.528,-0.53,-0.5155000000000001,-0.532,-0.524,-0.5290000000000001,-0.43399999999999994,-0.5205,-0.5055000000000001
0.51,0.51,-0.523,-0.51,-0.5270000000000001,-0.527,-0.5329999999999999,-0.506,-0.5250000000000001,-0.5335,-0.5225000000000001,-0.4395,-0.516,-0.496
0.52,0.52,-0.5345,-0.5269999999999999,-0.531,-0.5265,-0.5355,-0.5125,-0.536,-0.5335,-0.533,-0.45,-0.5195,-0.49800000000000005
0.53,0.53,-0.5625,-0.533,-0.558,-0.56,-0.5680000000000001,-0.553,-0.5705,-0.5750000000000001,-0.56,-0.4465,-0.544,-0.529
0.54,0.54,-0.552,-0.5375,-0.5495000000000001,-0.5555000000000001,-0.5475,-0.53,-0.5425,-0.5435000000000001,-0.5509999999999999,-0.45699999999999996,-0.5355000000000001,-0.526
0.55,0.55,-0.5625,-0.545,-0.558,-0.562,-0.5455,-0.5285,-0.5435000000000001,-0.55,-0.5595,-0.44799999999999995,-0.5425,-0.536
0.56,0.56,-0.5655,-0.552,-0.5705,-0.5635000000000001,-0.565,-0.5569999999999999,-0.5670000000000001,-0.5605,-0.5635,-0.454,-0.5529999999999999,-0.5369999999999999
0.57,0.57,-0.5605,-0.549,-0.5625,-0.5515,-0.5720000000000001,-0.546,-0.567,-0.5655,-0.558,-0.45599999999999996,-0.5455,-0.5225
0.58,0.58,-0.5685,-0.5555000000000001,-0.5655,-0.5625,-0.5585,-0.531,-0.5495,-0.5535,-0.5635,-0.46649999999999997,-0.5475,-0.524
0.59,0.59,-0.5840000000000001,-0.5805,-0.583,-0.5855,-0.575,-0.5645,-0.5795,-0.5740000000000001,-0.5805,-0.471,-0.5615000000000001,-0.546
0.6,0.6,-0.5840000000000001,-0.5730000000000001,-0.5875000000000001,-0.5810000000000001,-0.5780000000000001,-0.5635000000000001,-0.5735000000000001,-0.5810000000000001,-0.5815000000000001,-0.4685,-0.565,-0.548
0.61,0.61,-0.5935,-0.5755,-0.5960000000000001,-0.591,-0.585,-0.5670000000000001,-0.5865,-0.585,-0.5900000000000001,-0.46599999999999997,-0.569,-0.5579999999999999
0.62,0.62,-0.5765,-0.5555,-0.5770000000000001,-0.5760000000000001,-0.6205,-0.597,-0.6135,-0.619,-0.5690000000000001,-0.4285,-0.5555,-0.5315000000000001
0.63,0.63,-0.594,-0.589,-0.598,-0.601,-0.5875,-0.5765,-0.589,-0.591,-0.588,-0.46649999999999997,-0.5775,-0.5489999999999999
0.64,0.64,-0.6105,-0.5894999999999999,-0.6035,-0.6105,-0.5985,-0.5754999999999999,-0.5965,-0.595,-0.6045,-0.4805,-0.5785,-0.565
0.65,0.65,-0.5925,-0.577,-0.5885,-0.595,-0.6134999999999999,-0.595,-0.6145,-0.6185,-0.5860000000000001,-0.42999999999999994,-0.56,-0.527
0.66,0.66,-0.6014999999999999,-0.5800000000000001,-0.6005,-0.603,-0.6185,-0.597,-0.617,-0.6145,-0.5925,-0.458,-0.5725,-0.5435000000000001
0.67,0.67,-0.64,-0.6225,-0.6420000000000001,-0.6365000000000001,-0.604,-0.5795,-0.601,-0.6025,-0.6335000000000001,-0.48450000000000004,-0.6145,-0.5690000000000001
0.68,0.68,-0.6295,-0.6045,-0.6280000000000001,-0.629,-0.618,-0.607,-0.6175,-0.622,-0.621,-0.467,-0.5914999999999999,-0.5640000000000001
0.69,0.69,-0.622,-0.6020000000000001,-0.6185,-0.617,-0.6345000000000001,-0.613,-0.6365000000000001,-0.6345000000000001,-0.614,-0.436,-0.5854999999999999,-0.5425
0.7,0.7,-0.63,-0.6225,-0.6375000000000001,-0.6295000000000001,-0.6194999999999999,-0.5965,-0.6175,-0.6205,-0.6195,-0.4685,-0.596,-0.559
0.71,0.71,-0.6405000000000001,-0.623,-0.633,-0.639,-0.6435,-0.6240000000000001,-0.6435,-0.6325000000000001,-0.6275,-0.48100000000000004,-0.59,-0.5549999999999999
0.72,0.72,-0.638,-0.6215,-0.6380000000000001,-0.641,-0.6619999999999999,-0.636,-0.6575,-0.662,-0.625,-0.46299999999999997,-0.591,-0.5605
0.73,0.73,-0.6525000000000001,-0.634,-0.659,-0.6480000000000001,-0.652,-0.6419999999999999,-0.6465000000000001,-0.649,-0.6345000000000001,-0.4485,-0.612,-0.5549999999999999
0.74,0.74,-0.654,-0.6395000000000001,-0.653,-0.655,-0.655,-0.64,-0.654,-0.657,-0.635,-0.4565,-0.597,-0.5509999999999999
0.75,0.75,-0.6525000000000001,-0.6505,-0.6555,-0.652,-0.649,-0.635,-0.6525000000000001,-0.6515,-0.6335,-0.47450000000000003,-0.6034999999999999,-0.5690000000000001
0.76,0.76,-0.6745,-0.6545,-0.6745,-0.673,-0.6675,-0.6515,-0.6719999999999999,-0.6695,-0.6495,-0.47,-0.6055,-0.5475
0.77,0.77,-0.6715,-0.6559999999999999,-0.6705,-0.6779999999999999,-0.6615,-0.651,-0.6645,-0.6645,-0.641,-0.437,-0.608,-0.5614999999999999
0.78,0.78,-0.6825,-0.6675,-0.6775,-0.678,-0.675,-0.6599999999999999,-0.678,-0.668,-0.653,-0.4575,-0.5985,-0.5555
0.79,0.79,-0.671,-0.6655,-0.6715,-0.671,-0.688,-0.6779999999999999,-0.682,-0.6890000000000001,-0.6305000000000001,-0.46599999999999997,-0.587,-0.5295000000000001
0.8,0.8,-0.6955,-0.677,-0.6975,-0.6985000000000001,-0.694,-0.667,-0.6920000000000001,-0.6845000000000001,-0.657,-0.476,-0.609,-0.55
0.81,0.81,-0.6915,-0.683,-0.6915,-0.694,-0.6925,-0.6655,-0.6875,-0.6930000000000001,-0.644,-0.449,-0.597,-0.5415000000000001
0.82,0.82,-0.6955,-0.675,-0.706,-0.7015,-0.7010000000000001,-0.6805000000000001,-0.7025,-0.7005,-0.653,-0.41900000000000004,-0.5954999999999999,-0.535
0.83,0.83,-0.6995,-0.6785000000000001,-0.7030000000000001,-0.7045,-0.7170000000000001,-0.6890000000000001,-0.7145,-0.7115,-0.644,-0.433,-0.599,-0.525
0.84,0.84,-0.7215,-0.7005,-0.7130000000000001,-0.7165,-0.71,-0.7000000000000001,-0.7130000000000001,-0.7110000000000001,-0.6619999999999999,-0.4255,-0.5840000000000001,-0.541
0.85,0.85,-0.7204999999999999,-0.698,-0.7185,-0.7195,-0.718,-0.6965,-0.7235,-0.726,-0.6435,-0.43,-0.598,-0.509
0.86,0.86,-0.7324999999999999,-0.7295,-0.732,-0.738,-0.73,-0.7065,-0.7315,-0.732,-0.6539999999999999,-0.45499999999999996,-0.5885,-0.516
0.87,0.87,-0.7484999999999999,-0.735,-0.7515000000000001,-0.7445,-0.733,-0.7124999999999999,-0.728,-0.732,-0.649,-0.41900000000000004,-0.584,-0.49849999999999994
0.88,0.88,-0.7625,-0.7525000000000001,-0.7655,-0.7610000000000001,-0.7484999999999999,-0.744,-0.7475,-0.7450000000000001,-0.645,-0.4315,-0.5964999999999999,-0.49600000000000005
0.89,0.89,-0.7605,-0.7495,-0.7585,-0.764,-0.7515000000000001,-0.7310000000000001,-0.748,-0.7495,-0.6355,-0.42100000000000004,-0.569,-0.488
0.9,0.9,-0.7835,-0.7685,-0.787,-0.788,-0.759,-0.742,-0.7575000000000001,-0.758,-0.6485,-0.41200000000000003,-0.5680000000000001,-0.47450000000000003
0.91,0.91,-0.77,-0.765,-0.773,-0.7795000000000001,-0.779,-0.7595000000000001,-0.7805,-0.779,-0.594,-0.375,-0.5415,-0.471
0.92,0.92,-0.7885,-0.771,-0.7925,-0.79,-0.7865,-0.7655,-0.7825,-0.7855000000000001,-0.606,-0.367,-0.518,-0.4295
0.93,0.93,-0.7885,-0.778,-0.797,-0.791,-0.7955,-0.7769999999999999,-0.7995000000000001,-0.793,-0.5539999999999999,-0.339,-0.488,-0.375
0.94,0.94,-0.8140000000000001,-0.8015000000000001,-0.8155,-0.8075000000000001,-0.815,-0.8,-0.8085,-0.8105,-0.558,-0.36300000000000004,-0.46299999999999997,-0.37100000000000005
0.95,0.95,-0.8205,-0.819,-0.8245,-0.8320000000000001,-0.802,-0.7869999999999999,-0.8115,-0.8065,-0.5235,-0.3105,-0.4185,-0.3255
0.96,0.96,-0.8515,-0.84,-0.8475,-0.845,-0.8355,-0.8109999999999999,-0.832,-0.832,-0.5065000000000001,-0.2925,-0.35,-0.29100000000000004
0.97,0.97,-0.8725,-0.857,-0.861,-0.8725,-0.841,-0.8215,-0.8415,-0.8395,-0.434,-0.2845,-0.2905,-0.22449999999999998
