m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.67,0.67,3.013610307722381,6.818318183863666e-10,0.384,0.384,0.3905,0.386
0.68,0.68,3.04289255347669,7.031390627109405e-10,0.376,0.379,0.3775,0.379
0.69,0.69,3.073149617218619,7.258209679596802e-10,0.3815,0.375,0.3825,0.379
0.7,0.7,3.1044455771710426,7.500150002250029e-10,0.3705,0.373,0.3735,0.3705
0.71,0.71,3.1368510310107336,7.758775864396581e-10,0.3665,0.3665,0.3655,0.366
0.72,0.72,3.170444011323111,8.035875002410746e-10,0.3775,0.3705,0.374,0.3785
0.73,0.73,3.2053110676045673,8.333500002500031e-10,0.3605,0.3625,0.359,0.3605
0.74,0.74,3.241548552549508,8.654019233365421e-10,0.3575,0.3595,0.357,0.358
0.75,0.75,3.279264160727922,9.000180002700039e-10,0.3425,0.339,0.3475,0.344
0.76,0.76,3.3185787815171826,9.37518750281254e-10,0.3305,0.337,0.3295,0.327
0.77,0.77,3.359628746598796,9.78280435076091e-10,0.3335,0.3335,0.3355,0.3315
0.78,0.78,3.402568577345139,1.0227477275795492e-09,0.3215,0.3215,0.319,0.3225
0.79,0.79,3.447574371755847,1.0714500003214333e-09,0.3225,0.326,0.323,0.3225
0.8,0.8,3.4948480183575636,1.1250225003375047e-09,0.303,0.2985,0.3035,0.3015
0.81,0.81,3.5446224918583993,1.1842342108815842e-09,0.2875,0.2855,0.286,0.287
0.82,0.82,3.59716858191566,1.2500250003750043e-09,0.2975,0.297,0.2965,0.2945
0.83,0.83,3.6528035471769598,1.3235558827500047e-09,0.2835,0.2785,0.283,0.278
0.84,0.84,3.7119023959775674,1.4062781254218806e-09,0.277,0.2765,0.279,0.278
0.85,0.85,3.774912812558156,1.5000300004500057e-09,0.276,0.2715,0.2735,0.2745
0.86,0.86,3.842375240810389,1.6071750004821492e-09,0.2695,0.2675,0.269,0.2695
0.87,0.87,3.914950423882253,1.7308038466730842e-09,0.2595,0.2565,0.261,0.2545
0.88,0.88,3.9934579894243716,1.875037500562508e-09,0.2535,0.2485,0.2505,0.252
0.89,0.89,4.078931863997383,2.0454954551590984e-09,0.2405,0.238,0.2405,0.2365
0.9,0.9,4.172702173830821,2.2500450006750093e-09,0.256,0.2555,0.259,0.254
0.91,0.91,4.276520444660791,2.500050000750011e-09,0.22,0.2185,0.222,0.226
0.92,0.92,4.392758853295811,2.8125562508437628e-09,0.2085,0.2075,0.207,0.207
0.93,0.93,4.5247432293348755,3.2143500009642996e-09,0.211,0.2105,0.2135,0.2075
0.94,0.94,4.677344495607727,3.750075001125011e-09,0.2115,0.2095,0.209,0.205
0.95,0.95,4.858114234439014,4.500090001350014e-09,0.1945,0.1875,0.195,0.189
0.96,0.96,5.079703555908276,5.625112501687516e-09,0.1635,0.16,0.16,0.1585
0.97,0.97,5.365828979123919,7.500150002250021e-09,0.1565,0.153,0.1605,0.1585
0.98,0.98,5.7697350110607255,1.1250225003375031e-08,0.1255,0.12,0.126,0.129
0.99,0.99,6.461320680934717,2.2500450006750063e-08,0.094,0.093,0.0925,0.0885
0.1,0.2,1.1467204006373655,2.5000500007500104e-10,0.642,0.6365,0.643,0.647
0.1,0.3,0.0,2.5000500007500104e-10,,,,
0.1,0.4,,2.5000500007500104e-10,,,,
0.1,0.5,,2.5000500007500104e-10,,,,
0.1,0.6,,2.5000500007500104e-10,,,,
0.1,0.7,,2.5000500007500104e-10,,,,
0.1,0.8,,2.5000500007500104e-10,,,,
0.1,0.9,,2.5000500007500104e-10,,,,
0.2,0.3,1.787390185631785,2.8125562508437606e-10,0.577,0.5765,0.58,0.5745
0.2,0.4,1.3516519423924434,2.8125562508437606e-10,0.536,0.5285,0.534,0.5315
0.2,0.5,0.831796564167749,2.8125562508437606e-10,0.456,0.446,0.4535,0.442
0.2,0.6,0.0,2.8125562508437606e-10,,,,
0.2,0.7,,2.8125562508437606e-10,,,,
0.2,0.8,,2.8125562508437606e-10,,,,
0.2,0.9,,2.8125562508437606e-10,,,,
0.3,0.4,2.098935712798195,3.214350000964299e-10,0.503,0.499,0.5075,0.501
0.3,0.5,1.8847752157086264,3.214350000964299e-10,0.474,0.467,0.4725,0.476
0.3,0.6,1.6538596199166304,3.214350000964299e-10,0.436,0.445,0.44,0.433
0.3,0.7,1.3417092459390996,3.214350000964299e-10,0.3885,0.383,0.3825,0.3825
0.3,0.8,0.6555876770041492,3.214350000964299e-10,0.306,0.2905,0.308,0.312
0.3,0.9,,3.214350000964299e-10,,,,
0.4,0.5,2.337355079671674,3.7500750011250143e-10,0.4645,0.4625,0.4675,0.459
0.4,0.6,2.2143565033183177,3.7500750011250143e-10,0.433,0.436,0.439,0.432
0.4,0.7,2.02535918913707,3.7500750011250143e-10,0.362,0.364,0.3655,0.3625
0.4,0.8,1.5736412697537372,3.7500750011250143e-10,0.33,0.334,0.3295,0.331
0.4,0.9,,3.7500750011250143e-10,,,,
0.5,0.6,2.5512438364419503,4.5000900013500195e-10,0.449,0.443,0.4535,0.4515
0.5,0.7,2.4337630818570544,4.5000900013500195e-10,0.376,0.364,0.3795,0.3725
0.5,0.8,2.088272742495501,4.5000900013500195e-10,0.3215,0.3215,0.3215,0.32
0.5,0.9,,4.5000900013500195e-10,,,,
0.6,0.7,2.7715112802169353,5.625112501687521e-10,0.373,0.3655,0.3725,0.369
0.6,0.8,2.5341435514937785,5.625112501687521e-10,0.31,0.305,0.3055,0.314
0.6,0.9,1.279512022868854,5.625112501687521e-10,0.267,0.255,0.262,0.261
0.7,0.8,2.996652378673365,7.500150002250029e-10,0.304,0.303,0.3045,0.298
0.7,0.9,2.2608678131915605,7.500150002250029e-10,0.2525,0.257,0.25,0.2435
0.8,0.9,3.1868178261226445,1.1250225003375047e-09,0.2375,0.2365,0.2405,0.245
