m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.74,0.74,0.25,2.2500450006750097e-10,0.3085,0.2735,0.314,0.2955
0.75,0.75,0.25,2.2500450006750097e-10,0.326,0.28,0.3055,0.299
0.76,0.76,0.25,2.2500450006750097e-10,0.3275,0.2815,0.293,0.298
0.77,0.77,0.25,2.2500450006750097e-10,0.306,0.271,0.275,0.2745
0.78,0.78,0.25,2.2500450006750097e-10,0.334,0.29,0.3085,0.2945
0.79,0.79,0.25,2.2500450006750097e-10,0.3015,0.259,0.2785,0.2795
0.8,0.8,0.25,2.2500450006750097e-10,0.299,0.2595,0.281,0.266
0.81,0.81,0.25,2.2500450006750097e-10,0.292,0.2385,0.2795,0.2655
0.82,0.82,0.25,2.2500450006750097e-10,0.279,0.239,0.244,0.253
0.83,0.83,0.25,2.2500450006750097e-10,0.2795,0.2165,0.2535,0.2445
0.84,0.84,0.25,2.2500450006750097e-10,0.26,0.216,0.2275,0.22
0.85,0.85,0.25,2.2500450006750097e-10,0.273,0.223,0.246,0.213
0.86,0.86,0.25,2.2500450006750097e-10,0.2465,0.1975,0.2005,0.2185
0.87,0.87,0.25,2.2500450006750097e-10,0.241,0.19,0.2115,0.201
0.88,0.88,0.25,2.2500450006750097e-10,0.2285,0.195,0.2035,0.2045
0.89,0.89,0.25,2.2500450006750097e-10,0.224,0.173,0.187,0.1715
0.9,0.9,0.25,2.2500450006750097e-10,0.2055,0.1685,0.1725,0.155
0.91,0.91,0.25,2.2500450006750097e-10,0.2165,0.1545,0.1695,0.1695
0.92,0.92,0.25,2.2500450006750097e-10,0.1905,0.1385,0.153,0.138
0.93,0.93,0.25,2.2500450006750097e-10,0.1895,0.128,0.1405,0.138
0.94,0.94,0.25,2.2500450006750097e-10,0.1775,0.1065,0.1175,0.1125
0.95,0.95,0.25,2.2500450006750097e-10,0.145,0.1045,0.096,0.091
0.96,0.96,0.25,2.2500450006750097e-10,0.14,0.074,0.0815,0.079
0.97,0.97,0.25,2.2500450006750097e-10,0.1,0.0735,0.0685,0.0595
