m,M,difference_laplace_error_M_minus_MoS,difference_gaussian_error_M_minus_MoS,difference_exponential_error_M_minus_MoS,difference_exponential_mechanism_error_M_minus_MoS,difference_laplace_error_M_minus_MoSChangeEpsDelta,difference_gaussian_error_M_minus_MoSChangeEpsDelta,difference_exponential_error_M_minus_MoSChangeEpsDelta,difference_exponential_mechanism_error_M_minus_MoSChangeEpsDelta,difference_laplace_error_MChangeEpsDelta_minus_MoS,difference_gaussian_error_MChangeEpsDelta_minus_MoS,difference_exponential_error_MChangeEpsDelta_minus_MoS,difference_exponential_mechanism_error_MChangeEpsDelta_minus_MoS
0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0004999999999999449,-0.0,-0.0
0.01,0.01,-0.029000000000000026,-0.038000000000000034,-0.026499999999999968,-0.030000000000000027,-0.01749999999999996,-0.033499999999999974,-0.023499999999999965,-0.020499999999999963,-0.029000000000000026,-0.039000000000000035,-0.026499999999999968,-0.030000000000000027
0.02,0.02,-0.0665,-0.08050000000000002,-0.0665,-0.06699999999999995,-0.0635,-0.08399999999999996,-0.0655,-0.06499999999999995,-0.0665,-0.08050000000000002,-0.0665,-0.06699999999999995
0.03,0.03,-0.10850000000000004,-0.11850000000000005,-0.11350000000000005,-0.11299999999999999,-0.10350000000000004,-0.127,-0.10999999999999999,-0.11050000000000004,-0.10850000000000004,-0.11850000000000005,-0.11350000000000005,-0.11299999999999999
0.04,0.04,-0.14600000000000002,-0.15300000000000002,-0.14800000000000002,-0.15200000000000002,-0.14800000000000002,-0.16700000000000004,-0.15249999999999997,-0.15300000000000002,-0.14600000000000002,-0.15349999999999997,-0.14800000000000002,-0.15200000000000002
0.05,0.05,-0.17049999999999998,-0.18100000000000005,-0.17600000000000005,-0.17500000000000004,-0.1825,-0.1835000000000001,-0.1835,-0.1815,-0.17049999999999998,-0.1815,-0.17600000000000005,-0.17500000000000004
0.06,0.06,-0.1935,-0.20699999999999996,-0.19499999999999995,-0.1915,-0.17500000000000004,-0.1805,-0.17800000000000005,-0.17400000000000004,-0.1935,-0.20550000000000002,-0.19499999999999995,-0.1915
0.07,0.07,-0.21799999999999997,-0.22450000000000003,-0.22250000000000003,-0.21899999999999997,-0.21599999999999997,-0.22250000000000003,-0.22199999999999998,-0.21699999999999997,-0.21799999999999997,-0.22450000000000003,-0.22250000000000003,-0.21899999999999997
0.08,0.08,-0.22750000000000004,-0.22899999999999998,-0.22150000000000003,-0.22250000000000003,-0.235,-0.239,-0.23450000000000004,-0.23250000000000004,-0.22750000000000004,-0.22899999999999998,-0.22150000000000003,-0.22250000000000003
0.09,0.09,-0.24550000000000005,-0.24550000000000005,-0.243,-0.24550000000000005,-0.242,-0.244,-0.245,-0.241,-0.24550000000000005,-0.24550000000000005,-0.243,-0.24550000000000005
0.1,0.1,-0.263,-0.26,-0.26749999999999996,-0.26149999999999995,-0.256,-0.26349999999999996,-0.251,-0.25749999999999995,-0.263,-0.26,-0.26749999999999996,-0.26149999999999995
0.11,0.11,-0.271,-0.26949999999999996,-0.27549999999999997,-0.2755000000000001,-0.27349999999999997,-0.2835,-0.27249999999999996,-0.2745000000000001,-0.271,-0.269,-0.27549999999999997,-0.276
0.12,0.12,-0.27349999999999997,-0.277,-0.275,-0.27049999999999996,-0.2825,-0.29300000000000004,-0.2885,-0.28300000000000003,-0.27349999999999997,-0.2765000000000001,-0.275,-0.27049999999999996
0.13,0.13,-0.2905,-0.2945,-0.29700000000000004,-0.2885,-0.2945,-0.2935,-0.2995,-0.3005,-0.2905,-0.2945,-0.29700000000000004,-0.2885
0.14,0.14,-0.30900000000000005,-0.30600000000000005,-0.3045,-0.3085,-0.30900000000000005,-0.31800000000000006,-0.30800000000000005,-0.3045,-0.30900000000000005,-0.3055,-0.3045,-0.3085
0.15,0.15,-0.31100000000000005,-0.3165,-0.31100000000000005,-0.3115,-0.29600000000000004,-0.29700000000000004,-0.29600000000000004,-0.2945,-0.31100000000000005,-0.31600000000000006,-0.31100000000000005,-0.3115
0.16,0.16,-0.30800000000000005,-0.3085,-0.30900000000000005,-0.31599999999999995,-0.32599999999999996,-0.3185,-0.3215,-0.32099999999999995,-0.30800000000000005,-0.30700000000000005,-0.30900000000000005,-0.31599999999999995
0.17,0.17,-0.3255,-0.33099999999999996,-0.32799999999999996,-0.32799999999999996,-0.30500000000000005,-0.3155,-0.3065,-0.30800000000000005,-0.3255,-0.33099999999999996,-0.32799999999999996,-0.32799999999999996
0.18,0.18,-0.3435,-0.348,-0.34099999999999997,-0.344,-0.33599999999999997,-0.3395,-0.33599999999999997,-0.33299999999999996,-0.3435,-0.34750000000000003,-0.34099999999999997,-0.344
0.19,0.19,-0.3095,-0.33199999999999996,-0.3165,-0.31799999999999995,-0.345,-0.345,-0.34650000000000003,-0.345,-0.3095,-0.3315,-0.3165,-0.31799999999999995
