m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.67,0.67,0.19398495690760423,3.112565298684251e-10,0.775,0.408,0.562,0.4425
0.68,0.68,0.18862730589016788,3.0182451381180613e-10,0.757,0.392,0.561,0.4545
0.69,0.69,0.18324079576185837,2.923924977551873e-10,0.7545,0.4205,0.5375,0.4205
0.7,0.7,0.1778251139376357,2.8296048169856833e-10,0.7505,0.387,0.5135,0.4315
0.71,0.71,0.17237994272618495,2.7352846564194936e-10,0.7345,0.3955,0.5245,0.4105
0.72,0.72,0.16690495921808865,2.6409644958533033e-10,0.7145,0.3645,0.484,0.414
0.73,0.73,0.16139983517091985,2.5466443352871156e-10,0.714,0.3735,0.4785,0.3925
0.74,0.74,0.15586423689115622,2.452324174720926e-10,0.702,0.3405,0.481,0.3785
0.75,0.75,0.1502978251128056,2.3580040141547356e-10,0.678,0.353,0.456,0.3575
0.76,0.76,0.14470025487263616,2.263683853588546e-10,0.662,0.3465,0.414,0.3535
0.77,0.77,0.13907117538189404,2.1693636930223558e-10,0.6625,0.324,0.435,0.3495
0.78,0.78,0.13341022989439003,2.0750435324561663e-10,0.636,0.3315,0.416,0.336
0.79,0.79,0.12771705557083196,1.980723371889978e-10,0.6095,0.3145,0.372,0.3235
0.8,0.8,0.12199128333927091,1.8864032113237886e-10,0.5905,0.3225,0.3585,0.312
0.81,0.81,0.1162325377515319,1.7920830507575986e-10,0.5805,0.299,0.3475,0.289
0.82,0.82,0.11044043683548455,1.6977628901914096e-10,0.543,0.285,0.329,0.2995
0.83,0.83,0.1046145919430111,1.603442729625221e-10,0.534,0.289,0.326,0.241
0.84,0.84,0.09875460759352044,1.5091225690590317e-10,0.516,0.2595,0.308,0.2545
0.85,0.85,0.09286008131284908,1.4148024084928417e-10,0.479,0.2395,0.282,0.2385
0.86,0.86,0.08693060346738647,1.3204822479266517e-10,0.457,0.2565,0.2505,0.237
0.87,0.87,0.08096575709325296,1.226162087360463e-10,0.441,0.243,0.258,0.2
0.88,0.88,0.07496511772035251,1.131841926794273e-10,0.4155,0.2195,0.2335,0.198
0.89,0.89,0.0689282531911143,1.0375217662280832e-10,0.3715,0.2135,0.205,0.187
0.9,0.9,0.06285472347373035,9.432016056618943e-11,0.3545,0.2045,0.1935,0.1665
0.91,0.91,0.05674408046968679,8.488814450957043e-11,0.3245,0.1795,0.165,0.163
0.92,0.92,0.050595867815377144,7.545612845295153e-11,0.2815,0.1785,0.1465,0.137
0.93,0.93,0.0444096206775808,6.602411239633256e-11,0.2635,0.165,0.134,0.129
0.94,0.94,0.038184865542575934,5.659209633971372e-11,0.2235,0.16,0.13,0.117
0.95,0.95,0.031921119998644706,4.716008028309475e-11,0.1895,0.1425,0.1145,0.0855
0.96,0.96,0.02561789251172882,3.7728064226475805e-11,0.1385,0.125,0.0865,0.083
0.97,0.97,0.019274682193964544,2.829604816985686e-11,0.1215,0.12,0.0655,0.068
0.98,0.98,0.012890978564832787,1.8864032113237902e-11,0.108,0.0895,0.0535,0.0445
0.99,0.99,0.006466261304635231,9.432016056618951e-12,0.0535,0.063,0.0305,0.0305
0.1,0.2,1.4180370928606565,8.488814450957049e-10,1.0,0.989,0.9995,0.9985
0.1,0.3,2.374390515085868,8.488814450957049e-10,1.0,1.0,1.0,1.0
0.1,0.4,3.328751625269407,8.488814450957049e-10,1.0,1.0,1.0,1.0
0.1,0.5,4.280929803620162,8.488814450957049e-10,1.0,1.0,1.0,1.0
0.1,0.6,5.230705692735597,8.488814450957049e-10,1.0,1.0,1.0,1.0
0.1,0.7,6.177825113937633,8.488814450957049e-10,1.0,1.0,1.0,1.0
0.1,0.8,7.121991283339271,8.488814450957049e-10,1.0,1.0,1.0,1.0
0.1,0.9,8.069960856551646,8.488814450957049e-10,1.0,1.0,1.0,1.0
0.2,0.3,0.874390515085868,7.545612845295155e-10,0.998,0.909,0.989,0.98
0.2,0.4,1.3287516252694078,7.545612845295155e-10,0.9995,0.982,0.999,0.9985
0.2,0.5,1.7809298036201613,7.545612845295155e-10,1.0,0.9975,1.0,1.0
0.2,0.6,2.230705692735597,7.545612845295155e-10,1.0,0.999,1.0,1.0
0.2,0.7,2.677825113937636,7.545612845295155e-10,1.0,1.0,1.0,1.0
0.2,0.8,3.1311913858301987,7.545612845295155e-10,1.0,1.0,1.0,1.0
0.2,0.9,4.284565468042477,7.545612845295155e-10,1.0,1.0,1.0,1.0
0.3,0.4,0.6620849586027407,6.602411239633259e-10,0.997,0.817,0.966,0.9375
0.3,0.5,0.9475964702868285,6.602411239633259e-10,0.9995,0.9335,0.9925,0.988
0.3,0.6,1.2307056927355975,6.602411239633259e-10,1.0,0.973,1.0,0.998
0.3,0.7,1.5192287736285799,6.602411239633259e-10,1.0,0.991,0.9995,0.9995
0.3,0.8,1.929887714963421,6.602411239633259e-10,1.0,0.999,1.0,1.0
0.3,0.9,3.280646904445106,6.602411239633259e-10,1.0,1.0,1.0,1.0
0.4,0.5,0.5309298036201613,5.659209633971366e-10,0.989,0.739,0.9315,0.8925
0.4,0.6,0.7354847533049613,5.659209633971366e-10,0.999,0.87,0.978,0.962
0.4,0.7,0.9724216723792499,5.659209633971366e-10,1.0,0.926,0.9945,0.9865
0.4,0.8,1.3625307643525735,5.659209633971366e-10,1.0,0.977,0.9995,0.999
0.4,0.9,2.7046149070688505,5.659209633971366e-10,1.0,0.9995,1.0,1.0
0.5,0.6,0.4410405561104139,4.716008028309471e-10,0.976,0.6725,0.906,0.8195
0.5,0.7,0.6388931431982581,4.716008028309471e-10,0.994,0.7985,0.9695,0.9405
0.5,0.8,0.9886300258909754,4.716008028309471e-10,1.0,0.934,0.996,0.9875
0.5,0.9,2.177825113937637,4.716008028309471e-10,1.0,0.999,1.0,1.0
0.6,0.7,0.39026839986359574,3.772806422647577e-10,0.9615,0.6345,0.885,0.8
0.6,0.8,0.6829925611006017,3.772806422647577e-10,0.9995,0.835,0.974,0.9415
0.6,0.9,1.6502978251128058,3.772806422647577e-10,1.0,0.9925,1.0,0.9995
0.7,0.8,0.4152962404726778,2.8296048169856833e-10,0.9675,0.665,0.89,0.815
0.7,0.9,1.1219912833392713,2.8296048169856833e-10,0.9995,0.956,0.9975,0.996
0.8,0.9,0.5928600813128482,1.8864032113237886e-10,0.994,0.785,0.96,0.9245
0.01,0.02,1.4920994861619232,9.337695896052756e-10,1.0,0.9895,0.999,0.9995
0.01,0.03,2.488125698490994,9.337695896052756e-10,1.0,1.0,1.0,1.0
0.01,0.04,3.4841360568101942,9.337695896052756e-10,1.0,1.0,1.0,1.0
0.01,0.05,4.480130434108827,9.337695896052756e-10,1.0,1.0,1.0,1.0
0.01,0.06,5.476108701843772,9.337695896052756e-10,1.0,1.0,1.0,1.0
0.01,0.07,6.472070729914749,9.337695896052756e-10,1.0,1.0,1.0,1.0
0.01,0.08,7.468016386639051,9.337695896052756e-10,1.0,1.0,1.0,1.0
0.01,0.09,8.463945538725794,9.337695896052756e-10,1.0,1.0,1.0,1.0
0.02,0.03,0.9881256984909933,9.243375735486561e-10,0.9995,0.943,0.993,0.9895
0.02,0.04,1.4841360568101944,9.243375735486561e-10,1.0,0.989,0.999,0.9995
0.02,0.05,1.9801304341088264,9.243375735486561e-10,1.0,0.9975,1.0,1.0
0.02,0.06,2.4761087018437715,9.243375735486561e-10,1.0,1.0,1.0,1.0
0.02,0.07,2.972070729914748,9.243375735486561e-10,1.0,1.0,1.0,1.0
0.02,0.08,3.4680163866390505,9.243375735486561e-10,1.0,1.0,1.0,1.0
0.02,0.09,3.96394553872579,9.243375735486561e-10,1.0,1.0,1.0,1.0
0.03,0.04,0.8174693901435289,9.14905557492037e-10,0.998,0.8915,0.988,0.9795
0.03,0.05,1.1467971007754938,9.14905557492037e-10,0.9995,0.9575,0.9975,0.996
0.03,0.06,1.476108701843772,9.14905557492037e-10,1.0,0.9915,0.9995,1.0
0.03,0.07,1.8054040632480823,9.14905557492037e-10,1.0,0.9985,0.9995,1.0
0.03,0.08,2.1346830533057184,9.14905557492037e-10,1.0,0.999,1.0,1.0
0.03,0.09,2.463945538725791,9.14905557492037e-10,1.0,1.0,1.0,1.0
0.04,0.05,0.7301304341088267,9.054735414354184e-10,0.9985,0.8545,0.9795,0.968
0.04,0.06,0.9761087018437724,9.054735414354184e-10,0.999,0.929,0.996,0.9905
