m,M,difference_laplace_error_M_minus_MoS,difference_gaussian_error_M_minus_MoS,difference_exponential_error_M_minus_MoS,difference_exponential_mechanism_error_M_minus_MoS,difference_laplace_error_M_minus_MoSChangeEpsDelta,difference_gaussian_error_M_minus_MoSChangeEpsDelta,difference_exponential_error_M_minus_MoSChangeEpsDelta,difference_exponential_mechanism_error_M_minus_MoSChangeEpsDelta,difference_laplace_error_MChangeEpsDelta_minus_MoS,difference_gaussian_error_MChangeEpsDelta_minus_MoS,difference_exponential_error_MChangeEpsDelta_minus_MoS,difference_exponential_mechanism_error_MChangeEpsDelta_minus_MoS
0.88,0.88,-0.8585,-0.8045,-0.8525,-0.859,-0.874,-0.8225,-0.8734999999999999,-0.861,-0.637,-0.2345,-0.4125000000000001,-0.3475
0.89,0.89,-0.8595,-0.8194999999999999,-0.863,-0.8554999999999999,-0.867,-0.8094999999999999,-0.8625,-0.8605,-0.589,-0.2595,-0.38049999999999995,-0.2905
0.9,0.9,-0.871,-0.823,-0.8665,-0.862,-0.8575,-0.8099999999999999,-0.8515,-0.8455,-0.571,-0.22049999999999997,-0.362,-0.258
0.91,0.91,-0.866,-0.814,-0.8580000000000001,-0.859,-0.8885,-0.8344999999999999,-0.8845000000000001,-0.883,-0.537,-0.2345,-0.296,-0.22499999999999998
0.92,0.92,-0.8885,-0.8334999999999999,-0.889,-0.885,-0.873,-0.8145,-0.8705,-0.869,-0.4815,-0.21300000000000002,-0.2735,-0.21150000000000002
0.93,0.93,-0.8835000000000001,-0.8485,-0.8825000000000001,-0.8845000000000001,-0.884,-0.829,-0.883,-0.876,-0.4445,-0.2035,-0.22350000000000003,-0.1855
0.94,0.94,-0.8965,-0.8415,-0.894,-0.8935,-0.892,-0.8335,-0.893,-0.8825,-0.41050000000000003,-0.1705,-0.1895,-0.1545
0.95,0.95,-0.896,-0.8405,-0.892,-0.893,-0.9,-0.8385,-0.8945,-0.8925000000000001,-0.338,-0.1485,-0.14950000000000002,-0.1225
0.96,0.96,-0.9055,-0.8415,-0.91,-0.8945,-0.908,-0.844,-0.908,-0.9015,-0.272,-0.12,-0.1005,-0.089
0.97,0.97,-0.929,-0.8715,-0.92,-0.9175,-0.9225,-0.8725,-0.918,-0.9235,-0.203,-0.1035,-0.072,-0.0715
0.98,0.98,-0.9315,-0.8785,-0.9325,-0.927,-0.9185000000000001,-0.861,-0.914,-0.91,-0.1345,-0.087,-0.040499999999999994,-0.0345
0.99,0.99,-0.937,-0.8885,-0.9435,-0.9485,-0.936,-0.873,-0.9319999999999999,-0.9259999999999999,-0.051000000000000004,-0.0615,-0.0050000000000000044,-0.0225
0.1,0.2,-0.5005,-0.46900000000000003,-0.505,-0.5025,,,,,-0.5005,-0.5329999999999999,-0.51,-0.5115000000000001
0.1,0.3,-0.6035,-0.5435,-0.6005,-0.59,,,,,-0.604,-0.616,-0.605,-0.603
0.1,0.4,-0.643,-0.6054999999999999,-0.648,-0.6415,,,,,-0.643,-0.6679999999999999,-0.654,-0.6505000000000001
0.1,0.5,-0.7170000000000001,-0.6619999999999999,-0.712,-0.7005,,,,,-0.7170000000000001,-0.7224999999999999,-0.7195,-0.7085
0.1,0.6,-0.738,-0.679,-0.7310000000000001,-0.73,,,,,-0.738,-0.743,-0.7335,-0.743
0.1,0.7,-0.7725,-0.723,-0.7705,-0.774,,,,,-0.7735,-0.7875,-0.7765,-0.783
0.1,0.8,-0.8089999999999999,-0.743,-0.8095000000000001,-0.8065,,,,,-0.8089999999999999,-0.8085,-0.8140000000000001,-0.8160000000000001
0.1,0.9,-0.848,-0.791,-0.8475,-0.8435,,,,,-0.848,-0.8575,-0.85,-0.8505
0.2,0.3,-0.6305000000000001,-0.5885,-0.623,-0.6325000000000001,-0.6125,-0.5705,-0.6195,-0.62,-0.6305000000000001,-0.6185,-0.6265000000000001,-0.6385000000000001
0.2,0.4,-0.665,-0.6114999999999999,-0.6645,-0.6555,,,,,-0.6655,-0.6739999999999999,-0.6685,-0.663
0.2,0.5,-0.734,-0.6775,-0.722,-0.7245,,,,,-0.7344999999999999,-0.733,-0.7255,-0.732
0.2,0.6,-0.756,-0.6955,-0.7515000000000001,-0.758,,,,,-0.756,-0.764,-0.756,-0.7635000000000001
0.2,0.7,-0.781,-0.718,-0.772,-0.7755000000000001,,,,,-0.781,-0.7815,-0.7745,-0.781
0.2,0.8,-0.8220000000000001,-0.7505,-0.8155000000000001,-0.8165,,,,,-0.8225,-0.8220000000000001,-0.8200000000000001,-0.8280000000000001
0.2,0.9,-0.85,-0.7959999999999999,-0.8395,-0.851,,,,,-0.85,-0.856,-0.842,-0.859
0.3,0.4,-0.6535000000000001,-0.5920000000000001,-0.655,-0.649,-0.6845000000000001,-0.6205,-0.68,-0.682,-0.654,-0.593,-0.655,-0.651
0.3,0.5,-0.7284999999999999,-0.658,-0.7264999999999999,-0.7145,-0.7090000000000001,-0.6585000000000001,-0.7050000000000001,-0.6930000000000001,-0.7284999999999999,-0.7005,-0.73,-0.72
0.3,0.6,-0.7555000000000001,-0.7000000000000001,-0.7444999999999999,-0.7515000000000001,,,,,-0.756,-0.755,-0.7515000000000001,-0.763
0.3,0.7,-0.7955,-0.7310000000000001,-0.7895000000000001,-0.782,,,,,-0.7955,-0.7995000000000001,-0.793,-0.792
0.3,0.8,-0.8105,-0.76,-0.8200000000000001,-0.8105,,,,,-0.8105,-0.8260000000000001,-0.8220000000000001,-0.8160000000000001
0.3,0.9,-0.859,-0.7975,-0.8580000000000001,-0.854,,,,,-0.859,-0.865,-0.8645,-0.865
0.4,0.5,-0.6980000000000001,-0.6475,-0.6955,-0.6985000000000001,-0.7155,-0.6589999999999999,-0.712,-0.6995,-0.6985,-0.611,-0.6875,-0.685
0.4,0.6,-0.7565,-0.696,-0.7555000000000001,-0.744,-0.7685,-0.709,-0.7655,-0.7565000000000001,-0.7565,-0.6945,-0.7550000000000001,-0.7444999999999999
0.4,0.7,-0.7785,-0.719,-0.7865000000000001,-0.7815000000000001,-0.791,-0.7275,-0.789,-0.786,-0.7785,-0.7595,-0.789,-0.7865000000000001
0.4,0.8,-0.8280000000000001,-0.7665,-0.8295,-0.83,,,,,-0.8280000000000001,-0.8190000000000001,-0.8335,-0.839
0.4,0.9,-0.854,-0.7965,-0.8445,-0.8380000000000001,,,,,-0.854,-0.855,-0.848,-0.8495
0.5,0.6,-0.7615000000000001,-0.703,-0.7550000000000001,-0.746,-0.7645000000000001,-0.7055,-0.7555000000000001,-0.7535000000000001,-0.76,-0.626,-0.7424999999999999,-0.723
0.5,0.7,-0.7675000000000001,-0.7195,-0.7725000000000001,-0.771,-0.8035000000000001,-0.737,-0.796,-0.7909999999999999,-0.7685000000000001,-0.7090000000000001,-0.774,-0.763
0.5,0.8,-0.8355,-0.7795,-0.8335,-0.8315,-0.8285,-0.7905,-0.8265,-0.8300000000000001,-0.836,-0.8035,-0.8365,-0.8375
0.5,0.9,-0.856,-0.797,-0.856,-0.8460000000000001,,,,,-0.856,-0.862,-0.86,-0.8575
0.6,0.7,-0.785,-0.7355,-0.791,-0.7775000000000001,-0.796,-0.7265,-0.7985,-0.78,-0.781,-0.631,-0.763,-0.7255
0.6,0.8,-0.8375,-0.757,-0.8345,-0.8225,-0.8089999999999999,-0.7525,-0.8140000000000001,-0.806,-0.8365,-0.7525000000000001,-0.829,-0.82
0.6,0.9,-0.8614999999999999,-0.7999999999999999,-0.854,-0.8510000000000001,,,,,-0.8614999999999999,-0.859,-0.858,-0.8585
0.7,0.8,-0.8275000000000001,-0.772,-0.8255,-0.812,-0.8255000000000001,-0.767,-0.8220000000000001,-0.8165,-0.8225,-0.626,-0.7959999999999999,-0.7575000000000001
0.7,0.9,-0.856,-0.8185,-0.8450000000000001,-0.8535,,,,,-0.856,-0.8575,-0.8510000000000001,-0.861
0.8,0.9,-0.868,-0.8135,-0.869,-0.8645,-0.8805000000000001,-0.8145,-0.878,-0.871,-0.866,-0.727,-0.8495,-0.8374999999999999
