m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.76,0.76,2.0,9.432016056618942e-10,0.191,0.192,0.1865,0.193
0.77,0.77,2.0,9.432016056618942e-10,0.196,0.196,0.1925,0.1885
0.78,0.78,2.0,9.432016056618942e-10,0.1675,0.167,0.171,0.175
0.79,0.79,2.0,9.432016056618942e-10,0.16,0.165,0.167,0.159
0.8,0.8,2.0,9.432016056618942e-10,0.1685,0.1675,0.171,0.17
0.81,0.81,2.0,9.432016056618942e-10,0.168,0.1705,0.1625,0.166
0.82,0.82,2.0,9.432016056618942e-10,0.1605,0.1585,0.1625,0.157
0.83,0.83,2.0,9.432016056618942e-10,0.1455,0.1455,0.1465,0.1385
0.84,0.84,2.0,9.432016056618942e-10,0.1375,0.139,0.143,0.145
0.85,0.85,2.0,9.432016056618942e-10,0.164,0.1645,0.1635,0.1585
0.86,0.86,2.0,9.432016056618942e-10,0.1505,0.151,0.144,0.152
0.87,0.87,2.0,9.432016056618942e-10,0.1445,0.14,0.14,0.1425
0.88,0.88,2.0,9.432016056618942e-10,0.132,0.1305,0.131,0.1345
0.89,0.89,2.0,9.432016056618942e-10,0.1215,0.13,0.125,0.1295
0.9,0.9,2.0,9.432016056618942e-10,0.124,0.1155,0.1215,0.124
0.91,0.91,2.0,9.432016056618942e-10,0.1325,0.1175,0.131,0.1275
0.92,0.92,2.0,9.432016056618942e-10,0.1155,0.111,0.1155,0.116
0.93,0.93,2.0,9.432016056618942e-10,0.112,0.109,0.1135,0.114
0.94,0.94,2.0,9.432016056618942e-10,0.105,0.0995,0.1095,0.108
0.95,0.95,2.0,9.432016056618942e-10,0.0955,0.094,0.096,0.095
0.96,0.96,2.0,9.432016056618942e-10,0.0885,0.083,0.0915,0.09
0.97,0.97,2.0,9.432016056618942e-10,0.082,0.078,0.074,0.082
0.98,0.98,2.0,9.432016056618942e-10,0.065,0.0725,0.0665,0.0635
0.99,0.99,2.0,9.432016056618942e-10,0.0615,0.056,0.0585,0.0515
0.1,0.2,2.0,9.432016056618942e-10,0.4675,0.465,0.4715,0.476
0.1,0.3,2.0,9.432016056618942e-10,0.394,0.397,0.396,0.395
0.1,0.4,2.0,9.432016056618942e-10,0.335,0.3345,0.334,0.333
0.1,0.5,2.0,9.432016056618942e-10,0.3005,0.298,0.3015,0.2925
0.1,0.6,2.0,9.432016056618942e-10,0.264,0.2565,0.267,0.2585
0.1,0.7,2.0,9.432016056618942e-10,0.2135,0.212,0.2135,0.216
0.1,0.8,2.0,9.432016056618942e-10,0.202,0.1985,0.201,0.2
0.1,0.9,2.0,9.432016056618942e-10,0.168,0.174,0.171,0.165
0.2,0.3,2.0,9.432016056618942e-10,0.386,0.373,0.3855,0.3895
0.2,0.4,2.0,9.432016056618942e-10,0.329,0.328,0.328,0.3265
0.2,0.5,2.0,9.432016056618942e-10,0.2725,0.2745,0.272,0.272
0.2,0.6,2.0,9.432016056618942e-10,0.2515,0.2515,0.2505,0.253
0.2,0.7,2.0,9.432016056618942e-10,0.22,0.224,0.2195,0.22
0.2,0.8,2.0,9.432016056618942e-10,0.1905,0.189,0.1965,0.1925
0.2,0.9,2.0,9.432016056618942e-10,0.1625,0.15,0.1575,0.157
0.3,0.4,2.0,9.432016056618942e-10,0.3485,0.3515,0.35,0.349
0.3,0.5,2.0,9.432016056618942e-10,0.2965,0.2945,0.293,0.295
0.3,0.6,2.0,9.432016056618942e-10,0.23,0.235,0.235,0.233
0.3,0.7,2.0,9.432016056618942e-10,0.2125,0.209,0.211,0.219
0.3,0.8,2.0,9.432016056618942e-10,0.203,0.1935,0.1975,0.206
0.3,0.9,2.0,9.432016056618942e-10,0.1575,0.148,0.154,0.1555
0.4,0.5,2.0,9.432016056618942e-10,0.2925,0.291,0.297,0.296
0.4,0.6,2.0,9.432016056618942e-10,0.234,0.23,0.234,0.235
0.4,0.7,2.0,9.432016056618942e-10,0.217,0.21,0.2205,0.2175
0.4,0.8,2.0,9.432016056618942e-10,0.169,0.173,0.169,0.171
0.4,0.9,2.0,9.432016056618942e-10,0.1295,0.1305,0.134,0.13
0.5,0.6,2.0,9.432016056618942e-10,0.254,0.2435,0.2535,0.252
0.5,0.7,2.0,9.432016056618942e-10,0.208,0.207,0.213,0.206
0.5,0.8,2.0,9.432016056618942e-10,0.1815,0.1795,0.178,0.1805
0.5,0.9,2.0,9.432016056618942e-10,0.15,0.1545,0.153,0.152
0.6,0.7,2.0,9.432016056618942e-10,0.202,0.2025,0.206,0.204
0.6,0.8,2.0,9.432016056618942e-10,0.1675,0.166,0.1675,0.1655
0.6,0.9,2.0,9.432016056618942e-10,0.1415,0.137,0.144,0.1425
0.7,0.8,2.0,9.432016056618942e-10,0.1715,0.167,0.167,0.168
0.7,0.9,2.0,9.432016056618942e-10,0.127,0.127,0.128,0.1295
0.8,0.9,2.0,9.432016056618942e-10,0.1435,0.138,0.141,0.135
