m,M,difference_laplace_error_M_minus_MoS,difference_gaussian_error_M_minus_MoS,difference_exponential_error_M_minus_MoS,difference_exponential_mechanism_error_M_minus_MoS,difference_laplace_error_M_minus_MoSChangeEpsDelta,difference_gaussian_error_M_minus_MoSChangeEpsDelta,difference_exponential_error_M_minus_MoSChangeEpsDelta,difference_exponential_mechanism_error_M_minus_MoSChangeEpsDelta,difference_laplace_error_MChangeEpsDelta_minus_MoS,difference_gaussian_error_MChangeEpsDelta_minus_MoS,difference_exponential_error_MChangeEpsDelta_minus_MoS,difference_exponential_mechanism_error_MChangeEpsDelta_minus_MoS
0.25,0.25,-0.47250000000000003,-0.184,-0.32450000000000007,-0.24049999999999994,-0.4555,-0.15499999999999997,-0.30500000000000005,-0.20699999999999996,-0.394,-0.09450000000000003,-0.21500000000000002,-0.133
0.26,0.26,-0.485,-0.1885,-0.33949999999999997,-0.238,-0.4705,-0.16399999999999998,-0.33599999999999997,-0.198,-0.40049999999999997,-0.11149999999999999,-0.186,-0.14150000000000001
0.27,0.27,-0.4695,-0.192,-0.33199999999999996,-0.23799999999999993,-0.451,-0.15799999999999997,-0.32549999999999996,-0.23799999999999993,-0.35500000000000004,-0.07150000000000001,-0.1805,-0.10899999999999999
0.28,0.28,-0.5215,-0.1765,-0.37,-0.25199999999999995,-0.48849999999999993,-0.15099999999999997,-0.328,-0.19749999999999995,-0.4205,-0.08750000000000002,-0.22250000000000003,-0.1365
0.29,0.29,-0.485,-0.188,-0.351,-0.25249999999999995,-0.479,-0.16649999999999998,-0.336,-0.22199999999999998,-0.386,-0.09200000000000003,-0.21550000000000002,-0.09949999999999998
0.3,0.3,-0.48900000000000005,-0.1945,-0.35700000000000004,-0.25199999999999995,-0.47500000000000003,-0.13799999999999996,-0.31550000000000006,-0.22449999999999992,-0.3835,-0.10800000000000004,-0.22600000000000003,-0.1345
0.31,0.31,-0.506,-0.16250000000000003,-0.3865,-0.286,-0.4955,-0.15700000000000003,-0.34800000000000003,-0.2445,-0.38749999999999996,-0.07,-0.21449999999999997,-0.1325
0.32,0.32,-0.503,-0.188,-0.349,-0.2645,-0.48,-0.16499999999999998,-0.35,-0.2475,-0.397,-0.07900000000000001,-0.17999999999999994,-0.10749999999999998
0.33,0.33,-0.5355,-0.184,-0.37400000000000005,-0.2635,-0.5085,-0.15949999999999998,-0.338,-0.2585,-0.40449999999999997,-0.09250000000000003,-0.21249999999999997,-0.09649999999999997
0.34,0.34,-0.5369999999999999,-0.18200000000000005,-0.39449999999999996,-0.2875,-0.518,-0.15350000000000003,-0.38249999999999995,-0.27299999999999996,-0.40850000000000003,-0.08800000000000002,-0.173,-0.12
0.35,0.35,-0.52,-0.19799999999999995,-0.37250000000000005,-0.26999999999999996,-0.516,-0.15349999999999997,-0.3395,-0.24899999999999994,-0.3875,-0.11049999999999999,-0.20799999999999996,-0.10800000000000004
