m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.66,0.66,1.8006812322938008,2.7741223695938075e-09,0.2235,0.2205,0.227,0.222
0.67,0.67,1.825663933783539,2.8581866838239225e-09,0.2085,0.205,0.209,0.2095
0.68,0.68,1.8515414952088525,2.9475050176934193e-09,0.2165,0.211,0.2145,0.221
0.69,0.69,1.8783720262447996,3.0425858247157868e-09,0.229,0.2225,0.23,0.226
0.7,0.7,1.9062193738198774,3.144005352206314e-09,0.2205,0.211,0.2215,0.223
0.71,0.71,1.935153900800814,3.2524193298686015e-09,0.194,0.196,0.194,0.193
0.72,0.72,1.9652534013766958,3.3685771630781927e-09,0.2025,0.202,0.202,0.2085
0.73,0.73,1.9966041829888959,3.4933392802292386e-09,0.199,0.1995,0.2015,0.1965
0.74,0.74,2.0293023525439127,3.627698483314977e-09,0.206,0.1985,0.209,0.2045
0.75,0.75,2.063455355014828,3.772806422647577e-09,0.183,0.182,0.189,0.1915
0.76,0.76,2.0991838262950595,3.930006690257893e-09,0.189,0.187,0.1905,0.188
0.77,0.77,2.136623840615083,4.100876546356063e-09,0.177,0.1825,0.1725,0.181
0.78,0.78,2.1759296578470386,4.287280025735883e-09,0.1645,0.1625,0.168,0.1695
0.79,0.79,2.2172771103569073,4.491436217437592e-09,0.1745,0.1645,0.1715,0.1715
0.8,0.8,2.260867816817828,4.716008028309473e-09,0.174,0.177,0.174,0.174
0.81,0.81,2.306934477775847,4.9642189771678656e-09,0.153,0.149,0.153,0.152
0.82,0.82,2.355747604326646,5.240008920343855e-09,0.1685,0.1675,0.173,0.174
0.83,0.83,2.40762417206322,5.548244739187613e-09,0.1555,0.152,0.155,0.1505
0.84,0.84,2.4629389016772913,5.895010035386838e-09,0.159,0.158,0.16,0.1615
0.85,0.85,2.5221391850786152,6.288010704412628e-09,0.145,0.1485,0.1475,0.1455
0.86,0.86,2.5857651690394006,6.7371543261563854e-09,0.1515,0.1465,0.1545,0.152
0.87,0.87,2.6544772946958113,7.255396966629954e-09,0.1505,0.149,0.147,0.151
0.88,0.88,2.729094882687596,7.860013380515785e-09,0.1375,0.131,0.1395,0.1345
0.89,0.89,2.810651547455864,8.574560051471766e-09,0.1295,0.124,0.129,0.131
0.9,0.9,2.900477097889386,9.432016056618946e-09,0.1305,0.1265,0.1305,0.1295
0.91,0.91,3.0003227370465355,1.0480017840687717e-08,0.1305,0.1245,0.129,0.125
0.92,0.92,3.1125603136022217,1.1790020070773682e-08,0.1095,0.115,0.1095,0.108
0.93,0.93,3.240515323443704,1.3474308652312787e-08,0.1075,0.109,0.107,0.1055
0.94,0.94,3.3890583499851985,1.5720026761031554e-08,0.104,0.108,0.111,0.1005
0.95,0.95,3.565740630302793,1.8864032113237872e-08,0.1035,0.112,0.1075,0.1035
0.96,0.96,3.7832129232615723,2.358004014154734e-08,0.0855,0.087,0.082,0.082
0.97,0.97,4.065191390652872,3.144005352206311e-08,0.0945,0.0865,0.091,0.0925
0.98,0.98,4.464920175891208,4.716008028309468e-08,0.0725,0.0685,0.0715,0.067
0.99,0.99,5.152297938244443,9.432016056618936e-08,0.0525,0.0485,0.0455,0.0465
0.1,0.2,0.0,1.0480017840687711e-09,,,,
0.1,0.3,,1.0480017840687711e-09,,,,
0.1,0.4,,1.0480017840687711e-09,,,,
0.1,0.5,,1.0480017840687711e-09,,,,
0.1,0.6,,1.0480017840687711e-09,,,,
0.1,0.7,,1.0480017840687711e-09,,,,
0.1,0.8,,1.0480017840687711e-09,,,,
0.1,0.9,,1.0480017840687711e-09,,,,
0.2,0.3,0.6558318735740906,1.1790020070773678e-09,0.3875,0.371,0.374,0.383
0.2,0.4,0.0,1.1790020070773678e-09,,,,
0.2,0.5,,1.1790020070773678e-09,,,,
0.2,0.6,,1.1790020070773678e-09,,,,
0.2,0.7,,1.1790020070773678e-09,,,,
0.2,0.8,,1.1790020070773678e-09,,,,
0.2,0.9,,1.1790020070773678e-09,,,,
0.3,0.4,0.947617569414307,1.3474308652312782e-09,0.337,0.318,0.333,0.329
0.3,0.5,0.582899655987512,1.3474308652312782e-09,0.2855,0.2785,0.286,0.28
0.3,0.6,0.0,1.3474308652312782e-09,,,,
0.3,0.7,,1.3474308652312782e-09,,,,
0.3,0.8,,1.3474308652312782e-09,,,,
0.3,0.9,,1.3474308652312782e-09,,,,
0.4,0.5,1.1695594588372513,1.572002676103157e-09,0.282,0.275,0.279,0.278
0.4,0.6,0.939892178874537,1.572002676103157e-09,0.247,0.244,0.237,0.247
0.4,0.7,0.5565492766542918,1.572002676103157e-09,0.213,0.1885,0.1985,0.1985
0.4,0.8,,1.572002676103157e-09,,,,
0.4,0.9,,1.572002676103157e-09,,,,
0.5,0.6,1.3619804581563222,1.8864032113237885e-09,0.245,0.238,0.2455,0.249
0.5,0.7,1.1419580257817248,1.8864032113237885e-09,0.2005,0.1925,0.2005,0.2005
0.5,0.8,0.5258403076416316,1.8864032113237885e-09,0.166,0.154,0.171,0.159
0.5,0.9,,1.8864032113237885e-09,,,,
0.6,0.7,1.0,2.3580040141547357e-09,0.216,0.2095,0.2165,0.2135
0.6,0.8,1.1504947316609875,2.3580040141547357e-09,0.1685,0.16,0.169,0.1725
0.6,0.9,,2.3580040141547357e-09,,,,
0.7,0.8,1.6989129250349178,3.144005352206314e-09,0.157,0.1615,0.1615,0.157
0.7,0.9,0.0,3.144005352206314e-09,,,,
0.8,0.9,1.6723767356734875,4.716008028309473e-09,0.1395,0.122,0.137,0.133
0.01,0.02,0.0,9.527288946079735e-10,,,,
0.01,0.03,,9.527288946079735e-10,,,,
0.01,0.04,,9.527288946079735e-10,,,,
0.01,0.05,,9.527288946079735e-10,,,,
0.01,0.06,,9.527288946079735e-10,,,,
0.01,0.07,,9.527288946079735e-10,,,,
0.01,0.08,,9.527288946079735e-10,,,,
0.01,0.09,,9.527288946079735e-10,,,,
0.02,0.03,0.5120957045243362,9.624506180223406e-10,0.8405,0.6645,0.783,0.7425
0.02,0.04,0.0,9.624506180223406e-10,,,,
0.02,0.05,,9.624506180223406e-10,,,,
0.02,0.06,,9.624506180223406e-10,,,,
0.02,0.07,,9.624506180223406e-10,,,,
0.02,0.08,,9.624506180223406e-10,,,,
0.02,0.09,,9.624506180223406e-10,,,,
0.03,0.04,0.6867381588990961,9.723727893421588e-10,0.824,0.7105,0.803,0.776
0.03,0.05,0.34814253462901706,9.723727893421588e-10,0.7345,0.5325,0.66,0.611
0.03,0.06,0.0,9.723727893421588e-10,,,,
0.03,0.07,,9.723727893421588e-10,,,,
0.03,0.08,,9.723727893421588e-10,,,,
0.03,0.09,,9.723727893421588e-10,,,,
0.04,0.05,0.777391576303856,9.825016725644732e-10,0.761,0.679,0.753,0.744
0.04,0.06,0.5248048568873214,9.825016725644732e-10,0.713,0.5725,0.683,0.6415
0.04,0.07,0.2665123141184962,9.825016725644732e-10,0.6275,0.418,0.5545,0.4855
0.04,0.08,0.0,9.825016725644732e-10,,,,
0.04,0.09,,9.825016725644732e-10,,,,
0.05,0.06,0.8345455780119481,9.92843795433573e-10,0.744,0.6785,0.7325,0.712
0.05,0.07,0.633396484041637,9.92843795433573e-10,0.7095,0.597,0.6765,0.6585
0.05,0.08,0.42826458295989506,9.92843795433573e-10,0.6575,0.5405,0.6095,0.5855
0.05,0.09,0.2177689193789693,9.92843795433573e-10,0.568,0.3745,0.482,0.418
0.06,0.07,0.8750097970523479,1.0034059634701004e-09,0.7065,0.636,0.699,0.6805
0.06,0.08,0.7081075608452777,1.0034059634701004e-09,0.6745,0.6055,0.669,0.651
0.06,0.09,0.53817646440908,1.0034059634701004e-09,0.639,0.5405,0.618,0.5735
0.07,0.08,0.9059849508043543,1.0141952749052624e-09,0.6725,0.618,0.6625,0.659
0.07,0.09,0.7635375711118024,1.0141952749052624e-09,0.669,0.5855,0.6405,0.639
0.08,0.09,0.931071195107092,1.0252191365890157e-09,0.6215,0.5795,0.6105,0.6085
