m,M,difference_laplace_error_M_minus_MoS,difference_gaussian_error_M_minus_MoS,difference_exponential_error_M_minus_MoS,difference_exponential_mechanism_error_M_minus_MoS,difference_laplace_error_M_minus_MoSChangeEpsDelta,difference_gaussian_error_M_minus_MoSChangeEpsDelta,difference_exponential_error_M_minus_MoSChangeEpsDelta,difference_exponential_mechanism_error_M_minus_MoSChangeEpsDelta,difference_laplace_error_MChangeEpsDelta_minus_MoS,difference_gaussian_error_MChangeEpsDelta_minus_MoS,difference_exponential_error_MChangeEpsDelta_minus_MoS,difference_exponential_mechanism_error_MChangeEpsDelta_minus_MoS
0.0,0.0,0.000500000000000056,-0.008499999999999952,0.0050000000000000044,-0.01749999999999996,0.00550000000000006,-0.008499999999999952,0.0050000000000000044,-0.014499999999999957,0.0010000000000000009,0.009000000000000008,-0.0014999999999999458,-0.0004999999999999449
0.01,0.01,-0.04149999999999998,-0.031000000000000028,-0.055499999999999994,-0.028000000000000025,-0.04500000000000004,-0.03049999999999997,-0.04500000000000004,-0.03950000000000009,-0.04400000000000004,-0.03600000000000003,-0.044499999999999984,-0.04999999999999993
0.02,0.02,-0.09950000000000003,-0.045499999999999985,-0.10850000000000004,-0.0695,-0.10300000000000009,-0.03299999999999992,-0.12350000000000005,-0.06699999999999995,-0.10499999999999998,-0.05249999999999999,-0.09050000000000002,-0.08150000000000002
0.03,0.03,-0.136,-0.08350000000000002,-0.139,-0.13849999999999996,-0.14249999999999996,-0.09100000000000008,-0.139,-0.14049999999999996,-0.13450000000000006,-0.07450000000000001,-0.14100000000000001,-0.13450000000000006
0.04,0.04,-0.20000000000000007,-0.09699999999999998,-0.1925,-0.15600000000000003,-0.21050000000000002,-0.07999999999999996,-0.1775000000000001,-0.16649999999999998,-0.1965,-0.10549999999999993,-0.1915,-0.14800000000000002
0.05,0.05,-0.24550000000000005,-0.12650000000000006,-0.23050000000000004,-0.2025,-0.23450000000000004,-0.12850000000000006,-0.21599999999999997,-0.18200000000000005,-0.23950000000000005,-0.10450000000000004,-0.21650000000000003,-0.20299999999999996
0.06,0.06,-0.28900000000000003,-0.16800000000000004,-0.242,-0.235,-0.27649999999999997,-0.14700000000000002,-0.23399999999999999,-0.20999999999999996,-0.2765000000000001,-0.13149999999999995,-0.237,-0.20500000000000007
0.07,0.07,-0.2995,-0.1855,-0.28,-0.27149999999999996,-0.29900000000000004,-0.1835,-0.271,-0.271,-0.29599999999999993,-0.16349999999999998,-0.26450000000000007,-0.23449999999999993
0.08,0.08,-0.3165,-0.16749999999999998,-0.2995,-0.26949999999999996,-0.31399999999999995,-0.15400000000000003,-0.3025,-0.24949999999999994,-0.31800000000000006,-0.16649999999999998,-0.2855,-0.263
0.09,0.09,-0.346,-0.1785,-0.32200000000000006,-0.28200000000000003,-0.35450000000000004,-0.1775,-0.31000000000000005,-0.2895000000000001,-0.344,-0.16249999999999998,-0.3155,-0.26
0.1,0.1,-0.372,-0.21900000000000008,-0.345,-0.31700000000000006,-0.378,-0.23350000000000004,-0.35450000000000004,-0.3065,-0.362,-0.20550000000000002,-0.3185,-0.2875
0.11,0.11,-0.3965000000000001,-0.22599999999999998,-0.34650000000000003,-0.3285,-0.39350000000000007,-0.20399999999999996,-0.3480000000000001,-0.31100000000000005,-0.391,-0.1875,-0.3415,-0.3075
0.12,0.12,-0.44699999999999995,-0.23850000000000005,-0.38949999999999996,-0.365,-0.40700000000000003,-0.21450000000000002,-0.372,-0.34099999999999997,-0.4395,-0.21650000000000003,-0.375,-0.3255
0.13,0.13,-0.43399999999999994,-0.2575,-0.41800000000000004,-0.362,-0.43099999999999994,-0.24400000000000005,-0.39249999999999996,-0.359,-0.42399999999999993,-0.22149999999999997,-0.383,-0.29200000000000004
0.14,0.14,-0.4495,-0.261,-0.401,-0.3815,-0.4205000000000001,-0.2345,-0.37550000000000006,-0.34199999999999997,-0.42699999999999994,-0.21950000000000003,-0.38949999999999996,-0.339
0.15,0.15,-0.4595,-0.261,-0.4205,-0.38349999999999995,-0.4685,-0.25250000000000006,-0.42900000000000005,-0.38249999999999995,-0.43900000000000006,-0.21150000000000002,-0.384,-0.32499999999999996
0.16,0.16,-0.479,-0.318,-0.44800000000000006,-0.379,-0.481,-0.289,-0.43350000000000005,-0.383,-0.46599999999999997,-0.2395,-0.4225,-0.33499999999999996
0.17,0.17,-0.49150000000000005,-0.29500000000000004,-0.469,-0.39849999999999997,-0.45500000000000007,-0.24950000000000006,-0.4225,-0.366,-0.48,-0.239,-0.4485,-0.34550000000000003
0.18,0.18,-0.4955,-0.295,-0.438,-0.4,-0.5,-0.2945,-0.432,-0.397,-0.4805,-0.22500000000000003,-0.411,-0.351
0.19,0.19,-0.5105,-0.29350000000000004,-0.4769999999999999,-0.41899999999999993,-0.5025,-0.274,-0.4734999999999999,-0.4149999999999999,-0.48900000000000005,-0.2495,-0.426,-0.36
0.2,0.2,-0.5105,-0.286,-0.4759999999999999,-0.41700000000000004,-0.53,-0.2825,-0.49299999999999994,-0.43600000000000005,-0.49800000000000005,-0.2595,-0.42149999999999993,-0.33099999999999996
0.21,0.21,-0.524,-0.308,-0.47500000000000003,-0.43599999999999994,-0.5325,-0.305,-0.47650000000000003,-0.43549999999999994,-0.506,-0.25100000000000006,-0.432,-0.36050000000000004
0.22,0.22,-0.5425,-0.32799999999999996,-0.5015000000000001,-0.4704999999999999,-0.514,-0.298,-0.479,-0.43299999999999994,-0.526,-0.26249999999999996,-0.452,-0.398
0.23,0.23,-0.558,-0.32899999999999996,-0.5125000000000001,-0.4665,-0.5295000000000001,-0.308,-0.48500000000000004,-0.44000000000000006,-0.5295,-0.24149999999999994,-0.45999999999999996,-0.403
0.24,0.24,-0.559,-0.3445,-0.5075000000000001,-0.4675,-0.553,-0.33499999999999996,-0.498,-0.4555,-0.548,-0.27499999999999997,-0.463,-0.37850000000000006
0.25,0.25,-0.5665,-0.351,-0.5405,-0.477,-0.5715000000000001,-0.31649999999999995,-0.5195000000000001,-0.474,-0.5405,-0.2855,-0.47,-0.379
0.26,0.26,-0.586,-0.374,-0.5315000000000001,-0.504,-0.5845,-0.3565,-0.535,-0.49249999999999994,-0.5559999999999999,-0.268,-0.48100000000000004,-0.39499999999999996
0.27,0.27,-0.5945,-0.365,-0.5475,-0.5125,-0.5800000000000001,-0.347,-0.5115000000000001,-0.486,-0.5685,-0.27649999999999997,-0.45399999999999996,-0.42250000000000004
0.28,0.28,-0.6105,-0.38250000000000006,-0.5455,-0.518,-0.5965,-0.35350000000000004,-0.54,-0.493,-0.5805,-0.27649999999999997,-0.47350000000000003,-0.4085
0.29,0.29,-0.6145,-0.3795,-0.569,-0.5085,-0.59,-0.347,-0.5449999999999999,-0.49049999999999994,-0.577,-0.27999999999999997,-0.48950000000000005,-0.401
0.3,0.3,-0.6014999999999999,-0.37500000000000006,-0.5415000000000001,-0.518,-0.6094999999999999,-0.36400000000000005,-0.5425,-0.5169999999999999,-0.562,-0.2685,-0.4765,-0.3875
0.31,0.31,-0.5994999999999999,-0.375,-0.5445,-0.501,-0.594,-0.359,-0.5455000000000001,-0.5025,-0.5725,-0.279,-0.45049999999999996,-0.389
0.32,0.32,-0.6165,-0.3925,-0.562,-0.5125000000000001,-0.6120000000000001,-0.37800000000000006,-0.5509999999999999,-0.5015000000000001,-0.575,-0.27399999999999997,-0.48900000000000005,-0.403
0.33,0.33,-0.6320000000000001,-0.3885,-0.5660000000000001,-0.5165,-0.639,-0.4015,-0.5760000000000001,-0.5395,-0.5860000000000001,-0.25799999999999995,-0.4705,-0.41250000000000003
0.34,0.34,-0.6315000000000001,-0.402,-0.5740000000000001,-0.534,-0.6265000000000001,-0.394,-0.5680000000000001,-0.515,-0.5905,-0.272,-0.47,-0.3965
0.35,0.35,-0.6265000000000001,-0.41500000000000004,-0.5810000000000001,-0.5305,-0.614,-0.405,-0.5800000000000001,-0.506,-0.587,-0.2825,-0.4655,-0.3975
0.36,0.36,-0.653,-0.42,-0.601,-0.554,-0.6285000000000001,-0.38699999999999996,-0.5725,-0.519,-0.6199999999999999,-0.31450000000000006,-0.491,-0.40399999999999997
0.37,0.37,-0.645,-0.41650000000000004,-0.605,-0.551,-0.6305000000000001,-0.3925,-0.5775,-0.5155000000000001,-0.5880000000000001,-0.27099999999999996,-0.49349999999999994,-0.402
0.38,0.38,-0.6645,-0.417,-0.597,-0.5495,-0.6565,-0.4065,-0.5840000000000001,-0.5285,-0.618,-0.29150000000000004,-0.4955,-0.399
0.39,0.39,-0.6765,-0.42800000000000005,-0.603,-0.5660000000000001,-0.6739999999999999,-0.41800000000000004,-0.6160000000000001,-0.5515000000000001,-0.6265,-0.277,-0.4865,-0.405
0.4,0.4,-0.65,-0.417,-0.5985,-0.5265,-0.673,-0.416,-0.614,-0.5475000000000001,-0.5875,-0.27699999999999997,-0.4825,-0.3725
0.41,0.41,-0.663,-0.4505,-0.608,-0.5549999999999999,-0.6815,-0.446,-0.622,-0.5635,-0.608,-0.29400000000000004,-0.483,-0.37599999999999995
0.42,0.42,-0.6855,-0.4475,-0.632,-0.5835,-0.667,-0.441,-0.62,-0.5680000000000001,-0.6325000000000001,-0.2899999999999999,-0.49050000000000005,-0.403
0.43,0.43,-0.6805000000000001,-0.4635,-0.612,-0.5855,-0.656,-0.43850000000000006,-0.587,-0.5665,-0.6280000000000001,-0.2825,-0.48,-0.38050000000000006
0.44,0.44,-0.6905000000000001,-0.45149999999999996,-0.617,-0.5814999999999999,-0.6795,-0.432,-0.618,-0.581,-0.627,-0.287,-0.49250000000000005,-0.3685
0.45,0.45,-0.6675,-0.431,-0.623,-0.5740000000000001,-0.6785000000000001,-0.422,-0.619,-0.5700000000000001,-0.5914999999999999,-0.285,-0.466,-0.36350000000000005
0.46,0.46,-0.6970000000000001,-0.4645,-0.652,-0.5954999999999999,-0.7075,-0.47400000000000003,-0.652,-0.594,-0.617,-0.28500000000000003,-0.49350000000000005,-0.3945
0.47,0.47,-0.7125,-0.4685,-0.6645000000000001,-0.594,-0.7100000000000001,-0.446,-0.6505000000000001,-0.587,-0.636,-0.3065,-0.4875,-0.37549999999999994
0.48,0.48,-0.6930000000000001,-0.48600000000000004,-0.659,-0.593,-0.6875,-0.4665,-0.6365000000000001,-0.5855,-0.611,-0.29250000000000004,-0.48749999999999993,-0.371
0.49,0.49,-0.6875,-0.465,-0.65,-0.589,-0.6885,-0.46900000000000003,-0.6360000000000001,-0.581,-0.6025,-0.25199999999999995,-0.46599999999999997,-0.36249999999999993
0.5,0.5,-0.6970000000000001,-0.452,-0.643,-0.6005,-0.69,-0.443,-0.64,-0.579,-0.6045,-0.2465,-0.44900000000000007,-0.3635
0.51,0.51,-0.7245,-0.4725,-0.6725,-0.621,-0.7135,-0.44449999999999995,-0.6645,-0.5885,-0.6345,-0.2765,-0.473,-0.3745
0.52,0.52,-0.7064999999999999,-0.46299999999999997,-0.667,-0.6084999999999999,-0.6995,-0.44399999999999995,-0.658,-0.596,-0.603,-0.237,-0.46499999999999997,-0.3425
0.53,0.53,-0.7195,-0.4635,-0.6575,-0.6165,-0.7105,-0.4525,-0.6555,-0.595,-0.631,-0.25249999999999995,-0.45199999999999996,-0.366
0.54,0.54,-0.7170000000000001,-0.474,-0.681,-0.6205,-0.7255,-0.45899999999999996,-0.68,-0.622,-0.6000000000000001,-0.28049999999999997,-0.48150000000000004,-0.33549999999999996
0.55,0.55,-0.716,-0.49900000000000005,-0.676,-0.64,-0.7324999999999999,-0.48850000000000005,-0.6900000000000001,-0.6325000000000001,-0.62,-0.2465,-0.4495,-0.358
0.56,0.56,-0.7304999999999999,-0.4845,-0.6835,-0.6285,-0.742,-0.492,-0.6964999999999999,-0.639,-0.6220000000000001,-0.2645,-0.446,-0.3195
0.57,0.57,-0.7205,-0.48349999999999993,-0.6895,-0.644,-0.7435,-0.477,-0.701,-0.6415,-0.6045,-0.24199999999999997,-0.426,-0.32799999999999996
0.58,0.58,-0.728,-0.4965,-0.6735,-0.6259999999999999,-0.7355,-0.4945,-0.6799999999999999,-0.6379999999999999,-0.6005,-0.22750000000000004,-0.4085,-0.30450000000000005
0.59,0.59,-0.7455,-0.511,-0.6945000000000001,-0.648,-0.7264999999999999,-0.48250000000000004,-0.6795,-0.6194999999999999,-0.6140000000000001,-0.25649999999999995,-0.42250000000000004,-0.30100000000000005
0.6,0.6,-0.75,-0.506,-0.6895,-0.652,-0.7575000000000001,-0.5,-0.7010000000000001,-0.6615,-0.595,-0.24950000000000003,-0.42250000000000004,-0.3155
0.61,0.61,-0.755,-0.516,-0.7015,-0.6585000000000001,-0.74,-0.49849999999999994,-0.6960000000000001,-0.6405000000000001,-0.607,-0.23850000000000002,-0.43399999999999994,-0.2945
0.62,0.62,-0.7595,-0.511,-0.6855,-0.6615000000000001,-0.756,-0.49850000000000005,-0.686,-0.6375000000000001,-0.581,-0.23700000000000002,-0.39499999999999996,-0.31200000000000006
0.63,0.63,-0.756,-0.5305,-0.7125,-0.659,-0.7455,-0.499,-0.7010000000000001,-0.6345000000000001,-0.5924999999999999,-0.23399999999999999,-0.397,-0.3085
0.64,0.64,-0.7625,-0.533,-0.7065,-0.6455,-0.7655,-0.5345000000000001,-0.7165,-0.659,-0.589,-0.215,-0.367,-0.27349999999999997
0.65,0.65,-0.78,-0.542,-0.7270000000000001,-0.688,-0.77,-0.521,-0.7085,-0.6765,-0.5965,-0.2435,-0.4005,-0.298
