m,M,difference_laplace_error_M_minus_MoS,difference_gaussian_error_M_minus_MoS,difference_exponential_error_M_minus_MoS,difference_exponential_mechanism_error_M_minus_MoS,difference_laplace_error_M_minus_MoSChangeEpsDelta,difference_gaussian_error_M_minus_MoSChangeEpsDelta,difference_exponential_error_M_minus_MoSChangeEpsDelta,difference_exponential_mechanism_error_M_minus_MoSChangeEpsDelta,difference_laplace_error_MChangeEpsDelta_minus_MoS,difference_gaussian_error_MChangeEpsDelta_minus_MoS,difference_exponential_error_MChangeEpsDelta_minus_MoS,difference_exponential_mechanism_error_MChangeEpsDelta_minus_MoS
0.0,0.0,-0.0,-0.0004999999999999449,-0.0,-0.0,-0.0,0.000500000000000056,-0.0,-0.0,-0.0,-0.0010000000000000009,-0.0,0.0004999999999999449
0.01,0.01,-0.010499999999999954,-0.03949999999999998,-0.014000000000000012,-0.016000000000000014,-0.009499999999999953,-0.04200000000000004,-0.014000000000000012,-0.01200000000000001,-0.010499999999999954,-0.039000000000000035,-0.014000000000000012,-0.016000000000000014
0.02,0.02,-0.06899999999999995,-0.10399999999999998,-0.07099999999999995,-0.07850000000000001,-0.062000000000000055,-0.09350000000000003,-0.06699999999999995,-0.07699999999999996,-0.06899999999999995,-0.10299999999999998,-0.07050000000000001,-0.07850000000000001
0.03,0.03,-0.13449999999999995,-0.16249999999999998,-0.13649999999999995,-0.14549999999999996,-0.12549999999999994,-0.15700000000000003,-0.129,-0.13549999999999995,-0.13449999999999995,-0.16100000000000003,-0.13649999999999995,-0.14549999999999996
0.04,0.04,-0.16449999999999998,-0.18699999999999994,-0.17000000000000004,-0.1775,-0.17200000000000004,-0.1945,-0.17149999999999999,-0.17800000000000005,-0.16449999999999998,-0.1835,-0.17000000000000004,-0.17700000000000005
0.05,0.05,-0.22399999999999998,-0.24849999999999994,-0.22250000000000003,-0.2250000000000001,-0.21750000000000003,-0.23950000000000005,-0.21500000000000008,-0.21800000000000008,-0.22399999999999998,-0.248,-0.22299999999999998,-0.22550000000000003
0.06,0.06,-0.24950000000000006,-0.274,-0.249,-0.24750000000000005,-0.24650000000000005,-0.2765000000000001,-0.246,-0.252,-0.24950000000000006,-0.273,-0.249,-0.24750000000000005
0.07,0.07,-0.29000000000000004,-0.3075,-0.29500000000000004,-0.279,-0.29400000000000004,-0.3055,-0.30800000000000005,-0.2975,-0.29000000000000004,-0.30500000000000005,-0.29500000000000004,-0.279
0.08,0.08,-0.33799999999999997,-0.35450000000000004,-0.33599999999999997,-0.3355,-0.31399999999999995,-0.3345,-0.31699999999999995,-0.32099999999999995,-0.33799999999999997,-0.3550000000000001,-0.33599999999999997,-0.3355
0.09,0.09,-0.33599999999999997,-0.3425,-0.3395,-0.33499999999999996,-0.3365,-0.355,-0.33299999999999996,-0.33899999999999997,-0.33599999999999997,-0.3420000000000001,-0.3395,-0.33499999999999996
0.1,0.1,-0.355,-0.3690000000000001,-0.358,-0.36550000000000005,-0.372,-0.38350000000000006,-0.37,-0.375,-0.355,-0.36950000000000005,-0.358,-0.36550000000000005
0.11,0.11,-0.402,-0.40800000000000003,-0.40149999999999997,-0.40149999999999997,-0.39849999999999997,-0.41300000000000003,-0.39949999999999997,-0.40149999999999997,-0.402,-0.4075000000000001,-0.40149999999999997,-0.40149999999999997
0.12,0.12,-0.41200000000000003,-0.42000000000000004,-0.41100000000000003,-0.4285,-0.4155,-0.4135,-0.41200000000000003,-0.41100000000000003,-0.41200000000000003,-0.4215000000000001,-0.41100000000000003,-0.4285
0.13,0.13,-0.403,-0.4215000000000001,-0.39849999999999997,-0.4075,-0.42500000000000004,-0.4435,-0.4245,-0.4245,-0.403,-0.4195000000000001,-0.39849999999999997,-0.4075
0.14,0.14,-0.4435,-0.45299999999999996,-0.44799999999999995,-0.4465,-0.42500000000000004,-0.42600000000000005,-0.42800000000000005,-0.4295,-0.4435,-0.4515,-0.44799999999999995,-0.4465
0.15,0.15,-0.472,-0.47150000000000003,-0.47,-0.47350000000000003,-0.4605,-0.4585,-0.45999999999999996,-0.45999999999999996,-0.472,-0.4710000000000001,-0.47,-0.47350000000000003
0.16,0.16,-0.46499999999999997,-0.47450000000000003,-0.4665,-0.46699999999999997,-0.472,-0.4810000000000001,-0.48250000000000004,-0.47,-0.46499999999999997,-0.474,-0.4665,-0.46699999999999997
0.17,0.17,-0.492,-0.5055000000000001,-0.499,-0.497,-0.5005,-0.496,-0.504,-0.5035000000000001,-0.492,-0.5025,-0.499,-0.497
0.18,0.18,-0.504,-0.511,-0.502,-0.5095000000000001,-0.49250000000000005,-0.5045,-0.496,-0.49350000000000005,-0.504,-0.509,-0.502,-0.5095000000000001
