m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.76,0.76,0.5,9.432016056618942e-10,0.193,0.1725,0.196,0.178
0.77,0.77,0.5,9.432016056618942e-10,0.1595,0.1405,0.1575,0.159
0.78,0.78,0.5,9.432016056618942e-10,0.1845,0.172,0.18,0.1725
0.79,0.79,0.5,9.432016056618942e-10,0.1715,0.1455,0.162,0.1675
0.8,0.8,0.5,9.432016056618942e-10,0.1705,0.1545,0.153,0.1615
0.81,0.81,0.5,9.432016056618942e-10,0.15,0.1355,0.1395,0.154
0.82,0.82,0.5,9.432016056618942e-10,0.1585,0.1335,0.153,0.1395
0.83,0.83,0.5,9.432016056618942e-10,0.157,0.1345,0.146,0.143
0.84,0.84,0.5,9.432016056618942e-10,0.1515,0.1285,0.1515,0.136
0.85,0.85,0.5,9.432016056618942e-10,0.144,0.126,0.132,0.1385
0.86,0.86,0.5,9.432016056618942e-10,0.1475,0.1325,0.133,0.126
0.87,0.87,0.5,9.432016056618942e-10,0.1315,0.1115,0.1215,0.122
0.88,0.88,0.5,9.432016056618942e-10,0.135,0.1075,0.119,0.117
0.89,0.89,0.5,9.432016056618942e-10,0.1355,0.1125,0.124,0.131
0.9,0.9,0.5,9.432016056618942e-10,0.114,0.119,0.1055,0.1045
0.91,0.91,0.5,9.432016056618942e-10,0.119,0.0965,0.12,0.112
0.92,0.92,0.5,9.432016056618942e-10,0.114,0.0995,0.112,0.0955
0.93,0.93,0.5,9.432016056618942e-10,0.1115,0.0775,0.092,0.092
0.94,0.94,0.5,9.432016056618942e-10,0.098,0.0775,0.093,0.077
0.95,0.95,0.5,9.432016056618942e-10,0.078,0.071,0.0745,0.0725
0.96,0.96,0.5,9.432016056618942e-10,0.0805,0.0655,0.0645,0.0675
0.97,0.97,0.5,9.432016056618942e-10,0.074,0.063,0.0635,0.06
0.98,0.98,0.5,9.432016056618942e-10,0.0645,0.0445,0.0455,0.0445
0.99,0.99,0.5,9.432016056618942e-10,0.0565,0.0335,0.028,0.033
0.1,0.2,0.5,9.432016056618942e-10,0.4795,0.419,0.466,0.4645
0.1,0.3,0.5,9.432016056618942e-10,0.393,0.356,0.37,0.371
0.1,0.4,0.5,9.432016056618942e-10,0.343,0.3265,0.3375,0.322
0.1,0.5,0.5,9.432016056618942e-10,0.289,0.2665,0.2845,0.277
0.1,0.6,0.5,9.432016056618942e-10,0.25,0.2235,0.239,0.242
0.1,0.7,0.5,9.432016056618942e-10,0.2135,0.2015,0.218,0.218
0.1,0.8,0.5,9.432016056618942e-10,0.1845,0.1635,0.184,0.1735
0.1,0.9,0.5,9.432016056618942e-10,0.164,0.1345,0.151,0.1415
0.2,0.3,0.5,9.432016056618942e-10,0.4,0.3685,0.381,0.3785
0.2,0.4,0.5,9.432016056618942e-10,0.322,0.307,0.316,0.32
0.2,0.5,0.5,9.432016056618942e-10,0.269,0.2465,0.264,0.267
0.2,0.6,0.5,9.432016056618942e-10,0.2545,0.2245,0.2425,0.236
0.2,0.7,0.5,9.432016056618942e-10,0.2115,0.2015,0.207,0.211
